,Rank,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic,MAUT
6090,6091,9209118,6046,9609043,9512149,9604003,9904171,9711018,9711018,210128,9812002,9705242,9908083
6091,6092,9207006,9703101,9209044,9809025,302130,206144,302174,302174,9704077,4049,9907016,11010
6092,6093,9902170,12201,301165,107055,9911099,9304155,9808019,9808019,9910258,9711127,9906091,9809109
6093,6094,209136,9807079,9707167,108106,108229,210211,9511058,9511058,9312097,9810083,9612241,9811049
6094,6095,9312188,9609043,5127,9903066,9911101,206058,9811008,9811008,9807208,109004,9705045,8253
6095,6096,9408086,104011,209231,9710235,9210150,4041,109146,109146,9504104,9708154,9902043,10020
6096,6097,9510168,9308075,9203018,9406196,9709173,5047,9503209,9503209,9703191,302174,108150,10153
6097,6098,9704118,9806149,9709174,108097,9810050,9909197,108197,108197,7062,112259,9502029,9812013
6098,6099,9702035,9402073,209005,5051,9911015,9609159,112159,112159,9905019,9711051,9808119,9905220
6099,6100,9911188,9412162,109020,103025,5098,9609205,208219,208219,9712163,9209049,9709012,9910247
6100,6101,211122,107227,9057,104100,9605086,9706083,9811169,9811169,205106,9712112,106242,206222
6101,6102,9804163,4185,208035,8014,105019,302143,9711127,9711127,9606113,9606077,210114,302197
6102,6103,209043,9808031,9709004,5047,9504037,212242,9903019,9903019,10182,9503209,209084,302207
6103,6104,12026,212308,212175,108014,9212108,9608152,9505187,9505187,211285,106271,9503212,303166
6104,6105,9511171,210199,9803257,9905015,9312094,9711145,9608023,9608023,9806125,9612249,9811032,5108
6105,6106,9705123,208041,109032,9205011,9707182,9911067,9707135,9707135,9907090,108131,9806040,5266
6106,6107,9904120,9507151,212023,9205031,9412065,9605024,208050,208050,211194,9903056,9712059,9907030
6107,6108,212185,9810155,9506109,9811237,103230,9804145,111239,111239,9609078,9805142,9712187,9910122
6108,6109,9704006,10271,9225,9705240,9510202,9508021,106163,106163,109004,212244,9511038,8060
6109,6110,9805041,9805097,111130,9203033,9601179,9812137,109004,109004,111230,208123,304195,9205095
6110,6111,212307,111207,9909196,212140,9706161,9908051,9306080,9306080,212199,9605077,9502065,9610057
6111,6112,9303005,110135,9911001,9703193,9610040,9706165,9507051,9507051,109038,211054,9608046,9302127
6112,6113,9901009,9512017,9908039,9208046,304146,11136,9711205,9711205,9808138,110213,209190,9088
6113,6114,9708119,9810224,11245,9405034,9167,106148,9912281,9912281,9611061,9902126,9906215,9307057
6114,6115,4119,9207060,212162,9812247,9405059,9608093,9612249,9612249,209106,9707135,212067,9501090
6115,6116,9306023,9906127,9305010,210206,9709135,4154,9605168,9605168,206005,9906055,9902005,9912044
6116,6117,9211047,9117,9812224,9308052,9805147,9803107,9908155,9908155,208176,9903019,105184,12060
6117,6118,9301102,106235,9805120,9812076,9812247,9309056,9302020,9302020,9812109,106051,208229,9608128
6118,6119,9707160,9604057,9909202,10014,9411009,9403006,9703197,9703197,9812009,9808019,9911052,9503016
6119,6120,9503134,5020,108203,208101,207128,10046,212025,212025,11170,9204046,9705023,9506066
6120,6121,9402045,209251,9908126,9606069,9205070,9611123,9706074,9706074,6051,9607049,7076,9607015
6121,6122,207051,9811128,211292,9909218,9704091,104167,6216,6216,9704076,9711018,212244,9610180
6122,6123,9706017,108176,9910019,9804113,9706023,9908030,9605077,9605077,211103,9602125,206238,9709213
6123,6124,9907110,8079,9164,9506194,11251,9310077,103110,103110,9601010,9705017,9610045,9610011
6124,6125,9908028,9906244,9910196,12152,212168,211120,12078,12078,210243,9702152,108131,9607178
6125,6126,9402007,9608026,9506205,9412159,209242,9511072,211194,211194,12259,103110,104113,9703088
6126,6127,9906039,9505025,9503045,9211066,9406134,9703024,9909063,9909063,9403186,110242,9809179,9610229
6127,6128,103152,7213,208040,9710245,211167,5122,9606077,9606077,9706113,9703101,10077,9506138
6128,6129,11020,106072,9311021,9811158,9707259,9511166,106051,106051,9707151,112029,108201,9510159
6129,6130,9707123,207128,107232,208165,8210,110018,208123,208123,9703134,9702103,9904216,9512206
6130,6131,9901014,9308124,9612213,9709105,205128,9168,9912067,9912067,9607027,109146,9908030,9504147
6131,6132,210060,9601089,7239,207217,9903052,212222,9705017,9705017,9167,211194,9511116,9508045
6132,6133,9505012,111235,108113,103066,12178,301075,9204046,9204046,9006,9611237,9607204,9602057
6133,6134,9804010,205190,103063,206128,9808038,207140,9808004,9808004,210116,108197,9905153,9510134
6134,6135,9810152,9809045,107175,210265,9911043,9807019,9702103,9702103,209227,112159,9907164,9512157
6135,6136,9402096,9401025,205193,108189,9305066,8242,9707190,9707190,9612004,9302109,9611097,9512188
6136,6137,9607037,112233,5025,9174,9704087,210239,9607027,9607027,9505147,9608023,109097,9512170
6137,6138,9409016,209231,9705090,9601161,9711096,8193,9511065,9511065,108091,9811169,11021,9603184
6138,6139,9304125,9604077,208072,112058,9609074,9908037,9406206,9406206,9611123,9906162,110294,9607102
6139,6140,11208,9401006,211012,210244,9907117,104105,9703124,9703124,9602174,9912281,5124,9807104
6140,6141,9510213,304227,9707209,8210,210178,10292,9611237,9611237,109212,9909063,207151,9602043
6141,6142,9208035,9808111,9705166,103099,9710051,9811008,9702152,9702152,9809132,9707062,9811080,9701143
6142,6143,9403123,9609004,3271,9912003,9907159,304183,9512157,9512157,207006,208154,9912208,9707157
6143,6144,208138,9210068,9909182,9610081,9911041,9911004,301136,301136,9905048,304201,11167,9611175
6144,6145,9307038,111267,9709002,9604023,5165,9702152,9909073,9909073,9601167,208125,212144,9611094
6145,6146,9810147,209059,9901017,9709098,11099,103095,111269,111269,9812066,9607027,112088,9609075
6146,6147,9504084,9604139,11240,9502141,211087,205221,9712177,9712177,9407056,9703124,112056,9612146
6147,6148,9807064,9904075,5167,9304114,7119,9905092,111150,111150,9707260,9512157,6146,9707167
6148,6149,9306035,110252,10189,112114,9610067,112233,9602125,9602125,10093,209145,212332,9707170
6149,6150,9701080,12231,106276,9911041,9308146,9911031,210230,210230,107225,9132,9607032,9803025
6150,6151,9403188,111127,9071,9511145,109154,9209058,9906162,9906162,9603187,9809173,212098,9811075
6151,6152,9711092,9303007,9611201,9903052,9809097,9601051,208154,208154,9302020,211206,9710024,3272
6152,6153,9912186,10202,110267,9908028,4004,9703073,106271,106271,9810146,9804141,107099,107164
6153,6154,9811022,109165,208098,9207,9811122,107096,207096,207096,302012,9810066,9712200,103246
6154,6155,9905061,5193,9304102,11247,9706171,106015,9902126,9902126,9904101,8080,10086,10130
6155,6156,9302038,9132,9611049,9703075,9706073,11294,209145,209145,112132,104066,9905196,8031
6156,6157,208042,9709025,207009,9806238,207267,212018,9302109,9302109,211131,6216,9601085,109052
6157,6158,9306096,9706141,6203,9612084,11114,9912044,9610008,9610008,9812224,9406206,9712063,109217
6158,6159,9503093,9902102,9212045,9908155,9208024,9607085,9809173,9809173,9508045,9709049,9606070,301120
6159,6160,8208,9606057,9708116,4165,9511049,301102,211206,211206,9705095,112240,206228,12178
6160,6161,9306028,9205088,9705038,9504012,12093,303205,9804141,9804141,9901041,9605168,9603106,12016
6161,6162,9909065,9703077,9809161,210185,9908050,303157,9810066,9810066,9511052,9302020,9905089,9603136
6162,6163,9402038,9907130,9612216,211259,9902122,9901078,8080,8080,9709042,4072,210053,9606199
6163,6164,9805185,107218,9907215,9710096,208100,9908139,104066,104066,206009,207221,112034,9709072
6164,6165,9908186,111070,9607001,9711067,9203018,207094,210295,210295,211009,9903256,9612213,9611118
6165,6166,9906019,9605058,9708117,110283,202196,9707034,9803107,9803107,9907051,9711116,112247,9605038
6166,6167,9803133,303222,112160,9804159,11043,108045,9911156,9911156,9706142,207096,9807095,9712211
6167,6168,9405028,9503184,9408116,9909140,9607090,9711204,4072,4072,9311156,9702068,12045,9909218
6168,6169,9901011,9702199,5250,9908050,9912003,212235,207221,207221,9408046,9908155,9702045,9806149
6169,6170,9408066,205255,9611024,111090,304125,103240,11021,11021,106159,9711205,7061,5093
6170,6171,9309050,9903269,9310016,9612248,10014,206193,12117,12117,104156,111150,107262,9902005
6171,6172,9210015,9905142,9710151,9902094,109002,9710029,9702068,9702068,6102,106050,211091,9906119
6172,6173,9402057,107203,206189,9612008,9411198,9408116,9703101,9703101,9805087,9712187,7203,5056
6173,6174,9803109,103204,107102,9604109,9606049,106008,9709049,9709049,205121,111239,9903103,8068
6174,6175,9211035,9607102,9805074,112197,4165,9512138,212250,212250,9506196,207255,9612239,9907014
6175,6176,9203060,9807066,9705165,107024,9903213,9709159,110242,110242,9610020,12074,10098,206185
6176,6177,9204057,9709043,211195,9911011,9705179,112116,12188,12188,212212,112056,112128,9907090
6177,6178,9711028,9910132,209234,9806136,9909140,9904214,104089,104089,9710033,212175,9907066,9909035
6178,6179,9906030,9708089,9505046,110114,9905001,9611237,9510177,9510177,8093,9705147,9904123,9912082
6179,6180,9502066,106016,9406059,301211,9608179,9610040,207255,207255,9911132,9911156,211262,9912083
6180,6181,9607065,9906020,9401013,9903260,9603060,12203,9711116,9711116,9903080,9703148,9608162,9601146
6181,6182,9709105,210114,111019,112122,9605231,9904005,9705147,9705147,11051,210230,9705164,9708006
6182,6183,9202012,9805018,4149,9412144,9803042,9409098,108142,108142,301005,111269,9904120,9901075
6183,6184,9602140,7053,9903026,9701102,211193,9901119,9810129,9810129,9704135,9611161,9710208,9610030
6184,6185,9405187,211200,9907061,12178,106012,303113,212175,212175,9704162,12078,9706100,9609136
6185,6186,303007,301150,9207042,9611186,108189,112258,9132,9132,9806196,9610008,104201,9905066
6186,6187,9707061,9912164,9712211,9802071,9203069,9601145,106050,106050,9812080,9902033,205051,9909168
6187,6188,9205071,9803198,209138,107100,9507141,9905160,9812002,9812002,110215,12117,107126,9704153
6188,6189,9302124,9704120,206023,9911015,211024,207206,109196,109196,9252,9506109,9809192,9709080
6189,6190,9607229,104213,9704017,9701027,9704092,110207,112247,112247,9902155,9912067,9309106,9608085
6190,6191,9210115,106004,6001,9605110,9511145,301047,9701177,9701177,104113,9808004,9711008,9702161
6191,6192,9204071,9505145,108038,9701017,112230,9906162,9805142,9805142,9602021,209242,211098,9803127
6192,6193,9303156,211101,9701171,211193,211259,9709145,208085,208085,9811053,9912168,6064,9804139
6193,6194,9212007,106261,9405035,9806030,110149,9704184,207068,207068,207259,9901062,109129,103041
6194,6195,9306132,9712156,9912132,9202056,9901088,9907061,9506109,9506109,9607077,9707190,9909015,9804164
6195,6196,9605009,9804157,9910267,9909089,9183,9705087,12062,12062,9710049,12188,211253,9804174
6196,6197,9609008,205222,9811217,9605051,9706031,212066,212085,212085,9701151,208139,9601099,9901107
6197,6198,212184,9904005,212065,9712152,206195,109137,9712187,9712187,208112,212250,110242,9903095
6198,6199,9206098,8134,206090,9612127,9812094,9501067,9706090,9706090,3281,109024,109149,9907157
6199,6200,9904142,206185,9707139,9303032,112197,5244,4098,4098,103114,9611111,209205,12072
6200,6201,9904063,9604193,9804104,9602085,212212,9712057,9404188,9404188,112238,9812252,5103,108075
6201,6202,9611201,9510224,109094,9905079,9811182,108220,9611111,9611111,205070,9701177,9609230,108140
6202,6203,9210150,9604043,9909130,9507141,9903066,9912084,304224,304224,9811128,6035,9707190,108176
6203,6204,9306009,9606189,9512039,8247,9710096,9708169,9912168,9912168,9702168,9505074,9910246,108196
6204,6205,211198,9611008,9211119,9707095,9811232,107147,9701171,9701171,5124,207138,9605168,110107
6205,6206,9712010,112251,9710120,9806032,9710116,9705210,9303067,9303067,9410050,9810129,9907062,110170
6206,6207,9804114,207140,9903238,9905082,9312185,107223,207098,207098,9231,9612239,103138,111051
6207,6208,9505098,205291,9906220,9210124,9608079,207119,9710249,9710249,209175,9510177,5147,111155
6208,6209,9712057,9703075,9512137,9505107,9806150,9708116,9405112,9405112,110268,9608173,9707133,111177
6209,6210,9705167,9201054,9303139,9312042,108015,9804027,9410014,9410014,9703063,11021,9905059,111199
6210,6211,9612130,7060,9510155,9904206,5041,9603062,9812252,9812252,210096,9702199,9702059,206196
6211,6212,6052,12221,5239,9910251,9504012,9603159,208139,208139,111017,104089,9902113,207131
6212,6213,6231,9704191,9707043,212098,9502141,9606174,9903256,9903256,206042,9605069,304045,207172
6213,6214,9702084,9911238,9406128,9406059,9903090,9506003,9901062,9901062,209120,9706090,9811119,208068
6214,6215,8212,9701023,9911115,9808052,9812240,9608025,9708003,9708003,8067,103237,103187,208227
6215,6216,9703133,9701144,9510143,9703129,9708036,9609054,9611107,9611107,110090,207068,9705192,212163
6216,6217,9705067,9811045,9711161,6079,9702105,9609158,9611161,9611161,9909027,9810140,208184,301184
6217,6218,9710059,9701011,9612052,111235,105184,9706163,209242,209242,9902148,9511116,9702015,302206
6218,6219,9131,8191,207213,9712161,9311120,9805068,206240,206240,304030,9607204,9404157,103220
6219,6220,9707162,106094,9606086,9304155,9502066,9902185,9608173,9608173,107244,107065,9908029,106206
6220,6221,9905091,11167,9910198,9307176,301043,9812227,9807057,9807057,9712238,108142,108219,105062
6221,6222,9612144,103033,9811194,9705223,9505059,104246,9505074,9505074,9908030,9705068,110092,110164
6222,6223,9701168,9806169,9912002,211141,9803171,209120,9707062,9707062,9905059,9404188,9710021,207270
6223,6224,9706039,112204,9902107,9401164,9703129,9506086,303170,303170,107055,9708003,103036,208108
6224,6225,211139,12062,9811178,208123,9512030,111015,12074,12074,6059,9612075,9705240,105314
6225,6226,9709198,9703066,9804141,9504115,9402151,4167,9910043,9910043,9811176,9906108,9702184,212085
6226,6227,9705242,9901073,10242,9501080,111079,106207,9703148,9703148,106102,4098,9909068,9701137
6227,6228,9712088,4023,9712189,109148,9706204,210137,9810250,9810250,9505173,9611107,9706075,9908030
6228,6229,9709037,206092,9811149,9907159,9804118,9706216,9702199,9702199,9604025,9701171,209221,9905024
6229,6230,9902089,211008,6058,9205040,8141,111070,9810140,9810140,212070,9303067,9908198,9905080
6230,6231,106031,9811107,208080,9505059,9803107,12068,6035,6035,9184,207098,9205043,9902110
6231,6232,9611097,9902181,9610155,9403112,9405131,208002,112056,112056,9705165,9710249,9705115,9903186
6232,6233,9508053,9608023,9706093,9505069,9711151,210146,103237,103237,9301005,9405112,9902088,9907094
6233,6234,9611012,9709186,9812039,112079,208031,211196,9511045,9511045,9811097,9410014,207101,9908121
6234,6235,9705189,9601162,9908189,9505023,9806173,9706200,9612075,9612075,9809052,9401069,9708136,9906179
6235,6236,9507135,9701014,9911165,108055,6079,9610114,209228,209228,207178,9704205,9902102,9908155
6236,6237,9412074,9805126,12056,9805190,103243,9402155,9511116,9511116,211201,9511045,304120,9905044
6237,6238,9911255,7074,3300,9902184,8012,9239,9607204,9607204,104198,212085,9612195,9808141
6238,6239,9710073,7203,9610237,9807070,9311102,9906238,7030,7030,9909075,109196,9712224,107197
6239,6240,9608185,9211121,211030,9609175,9504115,9607001,9906108,9906108,9811198,9706032,211058,112214
6240,6241,9807195,109065,9809106,9183,9507050,112083,9806106,9806106,9906190,103187,9184,206108
6241,6242,9504120,9912038,9703024,208192,107024,211146,9712205,9712205,302148,9807057,207199,207156
6242,6243,9906129,208104,10138,9703071,9605110,9505194,9806143,9806143,9803061,8103,301182,207174
6243,6244,210096,9604107,210058,9311120,9507004,9506001,103023,103023,9707162,10121,9607112,208094
6244,6245,211121,9807222,10232,9711155,9806238,9504026,108128,108128,11090,11167,208190,208217
6245,6246,9806015,5166,9812027,9208024,9701102,9411071,9902033,9902033,106068,9712205,9601023,209122
6246,6247,9712218,9803039,9901050,9303109,9601006,9812063,109024,109024,9307056,212008,11045,210175
6247,6248,9603082,9812095,104098,9404031,9505098,9901045,112240,112240,209190,9606087,112231,301101
6248,6249,9812055,112166,304270,9811182,103103,5174,9606087,9606087,210230,112247,8154,304188
6249,6250,9703171,9908154,9210031,9512101,9505142,106205,5213,5213,107233,303170,112222,304213
6250,6251,6140,107148,9911117,111079,9706155,212016,9610032,9610032,103224,5213,9911023,4131
6251,6252,9603134,9903229,12078,205128,104048,9307074,106043,106043,108111,9903158,9812117,5114
6252,6253,3251,9901128,9412144,106177,111008,9706142,9706032,9706032,205125,9806106,111269,5153
6253,6254,9603110,10167,9811089,9907180,104047,9506061,207138,207138,205229,208085,7049,5202
6254,6255,9710060,9705012,9230,9911043,9207073,9911197,212008,212008,9908115,206240,9810185,6223
6255,6256,9702024,106167,109040,206195,106175,10280,205254,205254,9051,12062,212111,8023
6256,6257,9702200,210256,9209118,9607119,9511227,108072,9911173,9911173,11010,9910043,9901093,8227
6257,6258,9807111,9909182,9207103,9412221,207104,9902068,9506136,9506136,111121,304224,9604058,9908029
6258,6259,9701010,9505134,209120,9312185,9210070,9706065,9605069,9605069,9701032,9512024,9701078,8242
6259,6260,9609234,9903103,9807115,110020,207217,9905053,9612239,9612239,103217,9712039,9902170,9214
6260,6261,9508056,9608129,207029,9804118,4019,9706107,9903158,9903158,9912187,9805029,9503186,9224
6261,6262,9712146,9708133,110059,9201003,9806141,9810083,211098,211098,9607041,9806143,104130,9252
6262,6263,108230,212244,9707243,9908139,9901080,9903080,106013,106013,206129,9807090,9211121,10016
6263,6264,9602144,206052,9610198,112207,9710066,9410235,9612213,9612213,9412006,9810250,9612249,10045
6264,6265,9607052,9610204,207168,209223,4037,106157,9909027,9909027,9804023,212205,205221,10189
6265,6266,206116,9611020,212284,9909027,3290,9701113,103187,103187,9408086,7030,9408116,10190
6266,6267,9709214,9704017,7160,211123,207097,212263,9507109,9507109,105167,9709043,10115,11029
6267,6268,9808138,212072,9705170,9510202,9303032,9504086,209222,209222,209252,205170,9406008,11117
6268,6269,207162,205149,9905096,108015,9810210,9606197,9401069,9401069,206137,209228,211042,11226
6269,6270,4009,6022,9903208,9601006,9607126,9404106,8103,8103,9505074,106043,9512039,11285
6270,6271,6228,206166,111052,9912090,9707095,9704091,109149,109149,9803138,9612213,9609239,12080
6271,6272,11255,10071,212259,9908075,9412232,9804195,10121,10121,106215,9612139,9609183,12137
6272,6273,106019,212343,7254,111141,208123,9601175,6067,6067,110019,211098,9803060,104229
6273,6274,106165,208097,9907011,106116,205066,4080,9807090,9807090,11140,9608162,9503027,104230
6274,6275,9808111,9406059,9609151,10257,9205040,9908146,207111,207111,211289,103023,9508021,105188
6275,6276,9905126,12263,104130,208031,9902045,9709225,9709196,9709196,106193,9901121,9609022,105319
6276,6277,210296,212008,7141,9511227,9207077,9912114,9910261,9910261,9506162,9906207,11149,106107
6277,6278,106043,9412115,105106,103103,111141,108187,11167,11167,109019,109149,206163,106195
6278,6279,9906190,208030,9303017,8141,11138,108071,110267,110267,9905122,9609006,9602112,107075
6279,6280,9904005,9803260,9704044,107057,9701027,5266,205170,205170,9161,9506136,9911115,9810188
6280,6281,7071,5251,9709202,9308146,9208046,9806197,209190,209190,5066,104105,6211,109058
6281,6282,106267,9712252,9811201,211051,9905053,9503065,9901121,9901121,10099,4149,9702030,205074
6282,6283,303270,6044,302205,109017,9912075,211069,9608162,9608162,7213,110159,212326,206174
6283,6284,9608118,9510236,9702105,9709076,9607020,303170,9806040,9806040,9911182,9807208,9406208,207089
6284,6285,9909105,9803130,12106,211024,10015,207101,5147,5147,9703202,9711035,10182,207119
6285,6286,9910216,6009,9907160,9704092,111212,109180,9412115,9412115,208068,9806040,205048,207278
6286,6287,212235,9908092,9705068,9811173,9506137,301126,110159,110159,302224,9410074,9510178,209210
6287,6288,108154,9702067,212102,111001,9405011,104048,210137,210137,9603169,108128,110086,210313
6288,6289,9707184,9611099,9611235,9907119,9304121,111246,104105,104105,8211,9712252,9903056,212063
6289,6290,9608093,9810092,9214,9707226,109081,211157,9709043,9709043,9511079,9706158,9805087,212196
6290,6291,9908209,9605069,9702103,9807136,6227,211158,9708055,9708055,212344,9708055,9706207,302096
6291,6292,9710136,110172,111036,208100,9701053,9804153,9612139,9612139,9711141,109207,10042,9908091
6292,6293,108143,9612051,11284,211167,9201011,301211,8186,8186,9906162,304177,304164,4106
6293,6294,111064,9807096,105263,6107,207145,11120,106278,106278,112221,9412115,10255,5103
6294,6295,112134,4199,9809067,9410162,9907215,104110,9308052,9308052,9810221,9911173,11211,5244
6295,6296,208162,9705120,211081,9710127,302104,9311012,9410074,9410074,9702180,9610032,9903159,6169
6296,6297,209117,9806180,9510199,9207005,111249,9406136,9706158,9706158,9812114,6196,9707135,7026
6297,6298,210042,9910036,9201013,206062,9712166,9712171,107065,107065,9910124,207111,5152,7212
6298,6299,6058,9809043,9612207,5146,109127,9708136,9609006,9609006,9712027,9709196,5111,8033
6299,6300,6087,212263,9703082,9605032,9711155,9910077,9705068,9705068,108211,9910261,9607019,8154
6300,6301,8020,106013,209156,303055,7097,206089,9712156,9712156,103226,9806154,9710119,9812142
6301,6302,11034,9611237,205070,9205070,9809142,212044,6196,6196,208078,9904021,103145,9912117
6302,6303,9903021,112259,9910109,9203069,9804131,9604164,9904021,9904021,9510229,205254,9510212,9002
6303,6304,103217,9703216,9301097,9502152,9605121,108169,9804076,9804076,9409119,9904110,5115,9061
6304,6305,104167,9505097,111038,3289,9901048,211016,9804174,9804174,111276,209222,108069,9113
6305,6306,111041,9062,9811207,9604150,210078,106259,106243,106243,9603183,9905139,107228,9135
6306,6307,212088,110213,106107,108004,108156,9209118,9710033,9710033,5206,106013,9905139,10108
6307,6308,9910258,9908071,9705160,9305066,9410078,9905074,109207,109207,9809043,110267,9808006,10173
6308,6309,3294,9711107,210171,9803090,9609134,9711034,304177,304177,9808054,11144,209222,11033
6309,6310,112092,9806069,11010,9412076,111169,9502069,5176,5176,7160,9804076,304208,11170
6310,6311,112186,9612213,9309067,5165,104179,211080,5124,5124,9611197,107262,111098,11220
6311,6312,205165,8177,9911212,9711170,111090,9811164,9812117,9812117,9506101,106278,9602032,12222
6312,6313,206081,105277,9711008,9805018,8247,9504049,9711124,9711124,9712236,9812117,9911086,103079
6313,6314,207022,8170,9811234,9710051,9710035,210128,9712252,9712252,5164,12162,9705090,103099
6314,6315,207118,9407005,302026,106054,9610144,206220,208007,208007,9311012,9807095,9604043,103213
6315,6316,5080,111239,106121,9605109,9407025,105129,9709069,9709069,9406136,9710033,302204,104164
6316,6317,8247,205093,9303159,104026,111129,9906176,208213,208213,9506213,9807091,4100,105129
6317,6318,9037,8055,9307194,11269,9805200,206153,10086,10086,303023,112164,4178,106096
6318,6319,106136,9705045,9907070,9711038,9403112,212271,112065,112065,11239,9804174,9712050,106187
6319,6320,8096,9805027,9701173,12101,210042,104193,9310151,9310151,303239,9909027,9904087,106194
6320,6321,10177,107043,211027,9611014,9712182,9911153,9712086,9712086,9712086,6067,9803180,9903128
6321,6322,12196,111142,107195,8121,6107,212103,4149,4149,106175,9507109,12029,9907024
6322,6323,209212,9705104,206089,9904043,9211030,211001,112220,112220,9912261,9712156,208135,9906055
6323,6324,105300,10149,9512127,9905161,9703050,103033,9601089,9601089,9207105,106243,11051,9906090
6324,6325,108011,9807107,204089,5241,9811237,9504022,9905139,9905139,9911181,9184,9603134,9910260
6325,6326,9910185,211288,4102,107261,106157,5206,9407005,9407005,211019,8186,9610171,9605033
6326,6327,9903172,9612095,304109,9604138,9902184,212054,112164,112164,9910077,9903068,9610111,9711042
6327,6328,9901143,9804055,210219,9806141,9404031,8164,9806154,9806154,104003,5124,9701047,209260
6328,6329,9804093,9709072,9907055,9610144,9310188,9909160,9711035,9711035,9704175,107112,9905020,9710206
6329,6330,9810055,12013,112013,9808102,9811026,210197,9807091,9807091,9504080,9202046,9705065,9712205
6330,6331,205052,9602167,304196,9804131,103099,205154,9805029,9805029,9611149,9905165,9809135,9912214
6331,6332,205092,9702030,9903153,10192,9305004,211287,9702039,9702039,209195,9601089,9803042,212099
6332,6333,206207,9409015,211112,9305124,9904043,108022,304217,304217,9810051,109010,9710214,9811035
6333,6334,207133,9903067,9045,9603172,5230,109040,9901067,9901067,12264,9511048,112160,206010
6334,6335,9903003,9606042,105284,9607020,9311007,8247,9184,9184,9701113,9308052,9807208,208112
6335,6336,209181,9709012,9809061,111041,110294,9702180,11144,11144,9810223,9901067,211050,9909093
6336,6337,210229,205277,9708076,9703095,9702159,107123,9604014,9604014,9901117,9711039,9901076,9146
6337,6338,9804031,207221,10071,9602136,9401136,9612150,9206078,9206078,9144,9405188,9705147,9226
6338,6339,212246,9707043,9909068,9808189,9611078,9510154,9807208,9807208,208184,10086,9605151,11071
6339,6340,301253,107060,106194,11114,9061,9709135,109010,109010,9505167,9709069,9606138,103244
6340,6341,9806122,303124,9909061,9810101,9308127,9904218,106149,106149,8239,112165,111231,9902196
6341,6342,9803174,9806235,9807216,9602079,5147,211006,104254,104254,9812188,9711124,9501131,4165
6342,6343,3284,208082,9603168,9207028,9908094,9605073,9904110,9904110,9710063,208007,209081,112015
6343,6344,6024,205233,107112,10279,212242,9907032,9506205,9506205,9212002,9407005,9803107,210200
6344,6345,9902086,9310194,108102,9910108,212044,9609003,9712200,9712200,210065,209190,9903257,212281
6345,6346,9903222,9911008,9062,9311074,207183,7087,302181,302181,8155,208213,9911217,107138
6346,6347,9905067,211024,9612004,10051,12084,9612022,9308100,9308100,112122,210137,111050,111025
6347,6348,9210,211081,209202,9610138,9903260,9811133,9512024,9512024,9710078,9712200,9612232,112259
6348,6349,12153,209047,9612066,10280,9605051,212092,111177,111177,9311062,5147,107084,205300
6349,6350,12249,205293,9706195,9405011,9303012,9507141,10242,10242,207246,112220,9710018,206087
6350,6351,103082,103184,9702205,9603185,112047,103259,107262,107262,209139,9310151,208196,206115
6351,6352,106114,9607164,209027,9710109,9207028,9809053,9711039,9711039,110092,103231,9203083,208103
6352,6353,205164,103149,9806055,9608009,8098,9810161,107112,107112,10115,9711072,208219,209190
6353,6354,209095,302071,205103,9703006,5219,9812213,9811128,9811128,112012,9206078,9703228,209206
6354,6355,211152,9911222,9903260,9305046,9905082,10038,9905165,9905165,210274,9703082,4136,210219
6355,6356,6165,10270,5152,9503144,9505004,9807200,108089,108089,9301070,9702039,9812002,210227
6356,6357,9048,302023,9907060,9901071,104081,111119,9912208,9912208,108073,9603129,9210099,212091
6357,6358,106161,9812007,107061,111185,9908076,9909043,9712063,9712063,111118,9603069,7157,212112
6358,6359,205277,9902074,104155,9312055,9511039,9803152,206101,206101,303060,302181,9305040,212177
6359,6360,207168,9607029,103217,9610145,9907001,9710059,9603053,9603053,9507072,5176,12162,9089
6360,6361,210066,12106,107198,9508042,9210124,212207,212270,212270,208070,9508021,209228,10091
6361,6362,6044,9911052,9601130,9703072,12237,9708111,9202046,9202046,9510138,9905224,111034,11289
6362,6363,3281,208074,5014,9608179,9605101,205150,9602112,9602112,108079,9909118,9911210,108131
6363,6364,8185,9206078,9907132,212342,9611014,9402095,9904111,9904111,9810031,9602112,9911117,112247
6364,6365,11245,9503114,112122,9803205,9710127,9710146,9711072,9711072,4196,108089,112155,207117
6365,6366,12076,9511227,9805031,202196,9312042,106193,9907014,9907014,9505187,9503038,9608124,208125
6366,6367,103052,9709019,302008,9803026,212186,112221,9911052,9911052,9907079,9604014,207213,211091
6367,6368,103156,9910150,11113,9701018,9603117,9602126,112165,112165,206010,9506205,212322,304079
6368,6369,103257,9910021,9905156,6140,9401164,9912262,9405188,9405188,11167,304217,302118,109150
6369,6370,103265,9612021,106006,9304121,9605032,107174,9904216,9904216,10275,9904118,9610091,112174
6370,6371,106145,9605032,107034,112126,112122,210294,9807095,9807095,9304013,112065,9707001,212144
6371,6372,106261,9711097,9903165,9410078,108150,208009,9704205,9704205,9701099,9308100,9808005,111060
6372,6373,107018,111268,9711014,207165,9709098,9604140,212205,212205,9906134,9712063,9805017,209163
6373,6374,12105,9804199,9308100,9608079,9809025,5146,210075,210075,9704031,9712086,9806181,210148
6374,6375,9309067,9404162,104204,9607093,9605109,9808134,9712039,9712039,9404109,9018,9803162,211102
