,Rank,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality
2854,2855,9812016,6191,7211,9910199,212209,203205,9710127,210145,9912120,7211,9409098,9705106,9909219
2855,2856,9812118,205083,9610024,3118,211137,209042,202184,9606031,1055,9610024,101067,9810055,204206
2856,2857,9901018,206253,9805078,9159,9912139,212016,210115,9607001,1138,9805078,205192,9906164,211221
2857,2858,9901079,11027,202083,9806004,3237,212238,9801127,9811128,1183,202083,209090,12065,9604112
2858,2859,9901121,212142,209057,1002,9910233,205264,9910082,302222,1200,209057,102063,109069,203025
2859,2860,9903094,12194,9305142,208125,203224,111107,8033,9602070,2009,9305142,204038,110174,101144
2860,2861,9903152,6222,9412209,8239,12134,204062,9708129,9609167,2044,9412209,204087,205024,9812048
2861,2862,9904010,212016,9512053,10240,210010,206194,9907177,9703141,2066,9512053,207049,9810204,9804006
2862,2863,9904063,5208,9605176,2135,211240,106263,9801120,9704187,2090,9605176,207217,9911040,9712156
2863,2864,9905053,10198,9803108,207170,212054,201223,10091,4199,2147,9803108,210168,3220,9612153
2864,2865,9905075,6103,9810152,9812218,8247,112125,107159,9609041,2170,9810152,9601001,202083,3230
2865,2866,9907184,5197,9810204,112153,9902058,103052,9709063,9701139,3045,9810204,106071,208142,210231
2866,2867,9907211,7015,9902157,1089,1071,107140,9805115,9703110,3093,9902157,110043,9412209,9902004
2867,2868,9908060,9907070,9209075,6202,111004,9912140,9604199,9809195,3218,9209075,211252,9606135,9906161
2868,2869,9911011,106171,9407118,212142,202068,103239,9904110,2075,3248,9407118,9801023,9608017,8215
2869,2870,9911081,101200,9501062,8144,2242,110238,111277,9512180,4011,9501062,9907101,9902086,10059
2870,2871,1193,201191,9505077,101226,209212,110265,9901048,1092,4038,9505077,207283,9907152,12250
2871,2872,2090,202207,9606135,211209,302090,204169,3213,7235,4057,9606135,9910069,2126,9907070
2872,2873,3029,4056,9706195,106232,9909112,106232,9901077,102071,4114,9706195,9911150,6037,211056
2873,2874,3033,9172,9910081,203069,203084,203224,201127,211178,5151,9910081,2114,8090,110066
2874,2875,3067,108153,107172,206197,205177,3052,206118,9702014,5199,107172,109059,103115,110107
2875,2876,3118,7007,110035,9811056,102181,7140,9712082,3086,5217,110035,210257,206255,202027
2876,2877,3231,107143,205100,208229,110195,2166,106013,107140,6028,205100,9611138,9805146,4102
2877,2878,3232,210253,205254,9907219,7140,203084,112191,112153,6204,205254,9801101,1032,301103
2878,2879,3240,112138,303269,109100,9907029,9906142,9610250,302060,7062,303269,9805075,111050,9703049
2879,2880,3300,7036,9603061,110062,202127,212054,9611134,10292,7106,9603061,9908038,9501062,12183
2880,2881,4120,204169,9604077,206185,106249,5006,9909139,102099,7209,9604077,3001,9505077,9702142
2881,2882,4134,204117,9608017,9911150,108240,4056,9702153,9707023,8038,9608017,9051,9710217,212117
2882,2883,4142,209138,9612027,110117,108004,110062,9803145,9804087,8132,9612027,106114,9901164,9610170
2883,2884,5105,7140,9810224,2166,109065,304141,9609059,5014,9019,9810224,9703105,9902157,9808095
2884,2885,5163,1089,2126,8155,11175,110239,9709160,9705148,9106,2126,9705088,9903078,212198
2885,2886,5170,206064,106253,11017,106171,3020,9903217,9710082,9122,106253,109121,7211,212219
2886,2887,5179,210181,208142,107101,106225,9056,9234,9805070,9171,208142,9906034,8112,106050
2887,2888,6121,302067,9708042,9911172,111107,201041,10218,9408083,9209,9708042,7069,9209075,9704098
2888,2889,6251,211165,101154,9087,10198,205034,204045,9709219,10112,101154,212320,9605136,106032
2889,2890,7174,9912140,209215,101082,9032,9032,9311055,9712110,10113,209215,303060,9912208,9906155
2890,2891,8084,104174,9410142,106079,212155,110090,4151,9904115,10190,9410142,9709118,12258,109126
2891,2892,8101,12157,9612015,109214,5197,10072,107088,101030,11006,9612015,103252,101058,9903117
2892,2893,10071,202142,9710121,205097,9911136,10027,110219,9706144,11118,9710121,111041,110035,2152
2893,2894,10087,106232,9901164,209227,208130,106249,208209,9806240,11177,9901164,206253,210035,202092
2894,2895,10104,109040,9903242,111200,204065,106074,9403137,9910268,11241,9903242,212347,9604127,9612095
2895,2896,10175,11128,9906164,112240,5169,6117,9701014,9906109,11288,9906164,9710044,9612027,9805056
2896,2897,10194,205117,107185,203138,203274,12013,9807161,7029,12034,107185,9901059,9701048,106163
2897,2898,11113,106249,108126,205056,101200,6189,12196,9806204,12171,108126,104238,4021,105108
2898,2899,11238,5176,210035,110188,101136,7131,108201,9808188,101145,210035,109113,11057,9811036
2899,2900,12062,5006,212008,202203,7246,212142,201116,2057,101199,212008,202078,12142,211282
2900,2901,12110,106081,9701048,9811257,106146,302067,201224,10108,102184,9701048,212270,101154,205150
2901,2902,12117,3020,9703070,9905134,8228,9090,9510023,9508107,103069,9703070,9712015,107172,9703062
2902,2903,12250,10133,9707063,5152,6222,9912210,9706009,9809075,103080,9707063,103183,111012,9712117
2903,2904,101192,211080,9804199,9903157,108153,9808048,110267,103181,103089,9804199,9412224,9603061,9811097
2904,2905,101199,106240,9811037,9904165,202142,10133,9709058,301044,103094,9811037,9809017,9604105,9802133
2905,2906,102044,10023,9908144,2156,204091,211160,103031,301144,103183,9908144,102190,9610024,9904020
2906,2907,102064,106190,1001,110088,9912135,9811089,106267,9707017,104056,1001,106004,9908144,201067
2907,2908,102130,203038,10206,209099,210253,6236,9801060,9804209,104147,10206,211050,108126,9601014
2908,2909,102138,7064,201172,106202,107074,211119,9812224,9605176,104158,201172,9609240,303269,206087
2909,2910,102199,12074,9604127,111013,209138,8252,3179,9803231,104227,9604127,9812175,9305142,9908142
2910,2911,102212,2054,9710122,111105,106281,109065,3242,3012,105227,9710122,5179,9706143,205320
2911,2912,103014,12081,9903113,206011,12194,106248,106058,210033,106001,9903113,10132,9710064,211141
2912,2913,103080,106088,9906081,9804175,103239,9810195,110269,301126,106089,9906081,108146,9710122,107218
2913,2914,103085,9107,9907152,7001,204169,202100,211170,9812121,106200,9907152,203239,9803108,10084
2914,2915,103128,203041,103115,11288,11027,110057,3289,203173,106206,103115,205246,10206,203116
2915,2916,103153,3052,111012,102064,10027,101161,203161,9808128,107039,111012,9602029,205244,9803263
2916,2917,103199,205203,206255,202133,9811019,209212,9903140,9805056,107057,206255,9904199,212008,9907188
2917,2918,104146,107156,207125,212178,7015,10204,9801081,9805129,108131,207125,6015,9407001,107241
2918,2919,106020,207106,9308155,108187,204117,204159,1063,9904151,110062,9308155,108066,9605223,2066
2919,2920,106041,4019,9604105,205192,201191,207206,210135,9706175,110170,9604105,9703179,9703098,211102
2920,2921,106055,201162,9605136,9809179,211272,12047,9608169,9707143,110171,9605136,9803045,9810038,110214
2921,2922,108017,106026,9606080,9909017,210127,11226,9603108,3054,110200,9606080,9803191,203257,9602144
2922,2923,109170,108176,9609076,207002,212142,210275,9611175,201041,110226,9609076,9810098,205100,7140
2923,2924,109175,9909041,9706143,208173,106248,10198,9907140,9801066,111030,9706143,212344,207125,9607054
2924,2925,109197,202203,9710064,9904039,302067,9808143,7012,9803220,111060,9710064,9704025,9308155,205296
2925,2926,110034,205110,9810038,1212,101076,9808175,7217,9809044,111087,9810038,9710018,9604077,212018
2926,2927,110054,10027,1032,302199,6117,303216,107261,105300,111189,1032,9803140,9608108,9609239
2927,2928,110267,111078,9302144,3295,112138,7019,9612248,109102,111228,9302144,202113,9609056,110099
2928,2929,110274,9090,9511101,101132,104091,2057,9709214,9605096,111247,9511101,209052,9612015,9709202
2929,2930,111142,206116,9605223,101194,9909070,206197,8204,9605136,112093,9605223,301095,9811037,206220
2930,2931,111217,10141,9905005,210241,9172,103056,9304087,9912139,112098,9905005,301235,2210,7058
2931,2932,111222,111098,9909180,9803137,212016,112115,9510210,209137,112258,9909180,9612171,106253,9906148
2932,2933,112084,110137,1134,9909056,12156,202127,9710215,9506086,201205,1134,5047,201172,108198
2933,2934,112132,12170,8016,206170,206104,206184,9604103,9603003,203163,8016,7075,9606080,9611163
2934,2935,202190,4201,206108,9901057,106081,7064,9712118,9803139,204174,206108,9707027,9810099,108076
2935,2936,203116,9907029,9604055,10221,106026,9139,9611161,9903113,204203,9604055,9712212,9903242,9711048
2936,2937,203217,212201,9710116,12041,10192,11056,9910155,1057,205055,9710116,111100,9904024,208162
2937,2938,204027,112202,9710217,203105,106001,107156,9208035,6059,205067,9710217,112074,9905005,207072
2938,2939,204084,210279,9903078,204154,112135,302090,9311042,105035,205131,9903078,203166,211170,9905048
2939,2940,205098,11175,10091,212267,206064,203025,9706225,108100,205204,10091,9606167,9505194,9610174
2940,2941,205153,8185,204221,1216,203038,206064,9805006,203092,205290,204221,9908047,9511101,9606130
2941,2942,205187,7253,9608022,10251,106232,9904094,9812038,207260,205297,9608022,109048,9608022,9512181
2942,2943,205213,202094,9608125,103265,104174,205083,9902022,9712086,206090,9608125,9709139,9804199,9802185
2943,2944,206145,12132,9810256,110124,107156,9904056,101102,9712186,207050,9810256,9808002,9810224,111217
2944,2945,207004,12143,9903033,208188,10133,2249,202124,8087,207234,9903033,9811107,9810256,10121
2945,2946,207067,3208,106081,203007,205083,205056,9209023,101169,208114,106081,7021,9903033,12058
2946,2947,207201,4013,208041,206106,5031,210127,9609181,103233,208196,208041,9117,9906081,108036
2947,2948,207221,212072,9607078,101157,12157,111064,9910109,110299,209034,9607078,10087,9907134,11072
2948,2949,208126,110040,9805069,209154,107140,9812218,7078,9706027,210153,9805069,103117,9909180,102120
2949,2950,208216,206217,9805146,10275,206253,10194,9509009,9810214,211194,9805146,204210,8016,112107
2950,2951,209085,109065,2210,212266,106190,107143,9605051,107204,211261,2210,205005,107185,9710219
2951,2952,210078,206104,11080,9912073,4114,1216,9705212,9610105,211287,11080,209201,209215,3020
2952,2953,210224,105305,110115,3090,211165,9912135,9708127,5001,212010,110115,211032,9703029,209063
2953,2954,210250,10192,206013,3249,12074,6141,9912055,101088,9202012,206013,9609137,9710121,9912164
2954,2955,210294,11258,208003,101120,210181,9217,1049,106013,9202020,208003,9701076,1180,205295
2955,2956,210302,203244,9407001,107201,210279,12080,3124,9505162,9203070,9407001,9712005,106081,1098
2956,2957,211023,212151,9709044,110161,111098,110274,9705110,206167,9204026,9709044,8015,202116,9703008
2957,2958,211091,104122,9802195,111248,10242,7246,9806129,9710217,9204044,9802195,12220,1001,9606031
2958,2959,211122,203100,9904024,9909203,106240,205177,108229,9812061,9204057,9904024,9712036,11080,9608140
2959,2960,301049,106261,9907134,2042,2057,9911021,201004,103098,9204090,9907134,9910035,103033,9909154
2960,2961,9201013,111111,101058,8164,9217,3151,9607185,205259,9205018,101058,8124,103056,9810187
2961,2962,9201067,109119,204066,101232,203041,112240,9607204,9411149,9205043,204066,209002,108205,204122
2962,2963,9205046,209111,205070,8084,202094,2165,1180,9705037,9205115,205070,9503172,112169,9711205
2963,2964,9209003,4038,208029,8194,7131,111151,5211,9712172,9206046,208029,9808130,204074,9907054
2964,2965,9304148,112100,9508033,110171,10023,2091,9410011,9802080,9206063,9508033,208162,204221,207157
2965,2966,9306013,205034,9605091,2039,108176,203244,9807056,9909167,9206071,9605091,209189,9607078,204169
2966,2967,9309044,9217,9608196,4092,211080,108240,9809133,9911170,9206096,9608196,211006,9702187,112134
2967,2968,9311012,2057,9901050,11153,11128,10104,3085,3081,9207011,9901050,9610168,9812052,103080
2968,2969,9402005,103056,112169,204128,109040,212178,110170,211199,9207084,112169,9903141,205050,9812061
2969,2970,9402073,107199,204074,206003,3286,105305,210291,9701143,9208001,204074,9906018,9508033,12018
2970,2971,9402107,205042,205244,2255,9090,106274,9704021,9901009,9208006,205244,9224,9608196,9901143
2971,2972,9405171,203109,9307189,202054,1216,112048,9709093,103212,9208066,9307189,206201,1134,212128
2972,2973,9411195,3237,9705152,212012,111078,104059,9702174,9412074,9211011,9705152,212225,10088,107141
2973,2974,9501096,12080,9902030,3163,103056,3160,9707190,9611016,9211071,9902030,9707065,204066,5015
2974,2975,9503017,3218,9904033,3227,205203,101028,9712048,1123,9212068,9904033,9033,206013,9906041
2975,2976,9506019,303014,11008,204078,10141,302164,9907029,204207,9212075,11008,10285,206108,11098
2976,2977,9506065,3103,112199,303155,205034,110190,9017,212222,9212153,112199,108177,209057,211199
2977,2978,9509106,9043,9505194,9902137,4019,210279,11112,9602031,9302035,9505194,207183,9307189,205208
2978,2979,9510106,211272,9703029,9902153,205117,101076,9805172,9603075,9302046,9703029,9602127,9705152,3096
2979,2980,9511171,204113,9709108,201075,8185,211137,104172,9603156,9302076,9709108,9809062,9712112,9806041
2980,2981,9512042,104224,9712112,206217,7089,12157,107212,9801072,9303005,9712112,9912273,4097,9607193
2981,2982,9512129,209133,1180,211024,202203,4201,208197,9802088,9303093,1180,3154,10137,9912030
2982,2983,9601085,2091,4021,6107,11258,9808101,9910030,3230,9303172,4021,4137,12112,108115
2983,2984,9601169,112165,112188,12213,206116,202068,102166,10048,9305005,112188,203103,205254,9906154
2984,2985,9602067,9912135,202116,111026,106138,1071,201145,107189,9305052,202116,211066,208029,9712079
2985,2986,9603037,11056,9502077,106088,12170,10141,9703077,210073,9305109,9502077,9704031,208196,9802010
2986,2987,9603147,10242,9610224,109210,204245,10023,106050,211142,9305130,9610224,9903208,9505084,9705113
2987,2988,9603191,208166,9902045,205155,201162,9811057,9912019,9606010,9306096,9902045,111224,9704086,209148
2988,2989,9604044,203172,9908060,9906220,106088,12194,9610226,9909061,9306132,9908060,205233,9709044,9810210
2989,2990,9604077,106001,9912172,6236,3103,12143,9901106,9804041,9306147,9912172,206095,9802195,9601050
2990,2991,9604105,101028,12211,108125,3200,203172,5047,104105,9307036,12211,9405159,9809076,9704142
2991,2992,9605009,2099,9505084,203041,212201,1033,5065,10124,9307171,9505084,9510187,9902030,102144
2992,2993,9605223,106138,9601077,204195,10104,212209,104026,11075,9308027,9601077,9512201,9904033,2199
2993,2994,9606086,9911136,9708016,205164,205110,9209,203019,11195,9308042,9708016,109017,9401070,8245
2994,2995,9606102,202071,9803192,211237,12080,9904131,9201080,12010,9309107,9803192,112058,9707062,9904068
2995,2996,9606133,208201,6151,211017,10060,103222,9311015,109152,9310008,6151,211214,9911098,12053
2996,2997,9607026,212090,6181,211075,10151,3103,9712040,110071,9310122,6181,108117,9912172,9608096
2997,2998,9607027,12217,209003,9812025,204147,106225,9805064,112006,9312182,209003,110219,9502065,9912028
2998,2999,9607164,1216,211170,4013,4201,202203,9610134,206116,9312189,211170,9803057,9502077,201244
2999,3000,9607219,212239,9301038,6192,112100,203041,8057,209068,9402015,9301038,110302,9606049,9705174
3000,3001,9608039,204147,9704086,12112,203244,212313,109067,9603090,9402096,9704086,203104,9610224,207128
3001,3002,9608116,202155,2189,106136,212072,210010,9701151,211269,9402119,2189,205060,9702133,6120
3002,3003,9608195,6117,11107,9808006,112202,112100,2100,9709069,9403038,11107,206072,9708016,9705190
3003,3004,9609095,108193,111135,9809009,9911039,206253,5021,3232,9403041,111135,9410196,9812193,9610119
3004,3005,9611162,110191,9412162,3041,4072,106081,9808175,7100,9403096,9412162,9501005,6079,9906055
3005,3006,9612052,204173,9502065,10113,12132,204065,3045,111277,9404113,9502065,9607198,6181,2006
3006,3007,9612062,102146,9505150,102071,204084,3241,9605009,112223,9405113,9505150,108002,11107,9801078
3007,3008,9612141,204078,9605050,102164,104122,9911039,9903229,206024,9405176,9605050,207158,103241,9806225
3008,3009,9612153,2199,9705240,9903186,110171,211048,4106,9602011,9406048,9705240,9612019,9301038,304215
3009,3010,9701094,5013,9707062,12268,9811193,106181,12145,9607107,9406063,9707062,2115,9601168,9705240
3010,3011,9702002,106103,9707170,212218,10090,212201,103208,9711177,9406094,9707170,9154,9605050,9705197
3011,3012,9702103,12156,9809076,9809132,9909172,108004,9509105,9902190,9406101,9809076,10094,9608125,9711177
3012,3013,9702168,204152,9909127,3241,104224,12132,101029,9910091,9407134,9909127,101112,9709108,208125
3013,3014,9702174,207259,8112,6117,5145,9811139,206068,9604021,9407151,8112,203014,9911164,9706096
3014,3015,9703100,110171,103241,9188,5028,9908193,2023,9607139,9408004,103241,9408039,6151,9703172
3015,3016,9703127,206200,203257,10102,8087,110195,11220,207130,9408040,203257,9507118,111135,212043
3016,3017,9704006,5169,208042,107259,101028,10101,203203,9901079,9408077,208042,9701178,112188,1037
3017,3018,9704120,8252,208196,108147,203172,208130,9303093,207184,9410212,208196,9709047,203256,5065
3018,3019,9704131,110088,9401070,109108,106261,111078,9909203,11184,9411004,9401070,9804036,205070,102114
3019,3020,9704158,2249,9606049,110151,112165,3053,9912133,209122,9411198,9606049,9808125,9412162,210166
3020,3021,9705052,204245,9810099,204021,2099,2099,9803083,9706132,9411234,9810099,4120,9802133,9805158
3021,3022,9705106,3286,9912206,205029,11226,9911223,9804129,9911201,9412062,9912206,11076,9811228,207026
3022,3023,9705160,7134,6079,210051,105305,102156,9804200,3019,9412108,6079,107118,9909127,9806178
3023,3024,9705239,203051,12090,211224,10071,106190,103112,4196,9412113,12090,9902080,9909229,4195
3024,3025,9706025,106206,103033,4146,3151,9811010,104158,9512061,9412185,103033,205050,9910179,9712143
3025,3026,9706099,8087,202057,9911169,110137,9909180,9906243,9909199,9502010,202057,210179,11029,8204
3026,3027,9706195,201228,203260,101088,109119,110171,2152,6202,9502110,203260,301212,11160,101177
3027,3028,9707158,3160,212010,9189,10101,204091,6196,7200,9503016,212010,11112,12090,9808183
3028,3029,9707224,101144,9309085,111049,10195,6090,208042,111220,9503078,9309085,201181,101209,203021
3029,3030,9708141,9911246,9508135,207109,5013,107074,9501113,9605049,9503201,9508135,202150,110115,9610053
3030,3031,9709225,201097,9702133,9901128,110040,211165,12183,9909001,9504108,9702133,211220,203066,9806062
3031,3032,9710223,111166,9808175,9912018,107199,3237,106155,111072,9504148,9808175,9709213,9309085,9812027
3032,3033,9712040,207273,9911222,106128,204113,203005,9704052,211221,9505018,9911222,108162,9505150,9901078
3033,3034,9712193,4021,6215,210233,204078,212072,9811213,9610068,9505027,6215,109007,9912206,9712150
3034,3035,9801127,104100,10088,9902095,203109,11027,4090,208066,9505067,10088,9712247,2189,206149
3035,3036,9801132,7131,12112,4040,203100,9806177,6247,9605073,9506064,12112,9905222,106086,9709124
3036,3037,9801146,103031,205050,201187,2249,212272,8188,9610170,9506135,205050,5274,112199,4146
3037,3038,9802199,5014,210184,202163,205042,5014,9603004,9903107,9506138,210184,210139,208003,101110
3038,3039,9803004,208204,9311012,206129,8164,108153,2099,9906221,9506170,9311012,212316,9508135,3232
3039,3040,9803044,212272,9311189,209113,212151,8164,9608060,205025,9507045,9311189,9702199,9608186,9907184
3040,3041,9803072,10104,9802133,212314,6202,2199,9809159,211182,9507170,9802133,9711084,9708141,9903099
3041,3042,9803117,10101,9812052,304141,9043,106026,9810099,9801083,9508136,9812052,9810256,9708147,211028
3042,3043,9803120,102176,9907204,202048,106206,106103,3006,109070,9509105,9907204,2086,9803192,9804172
3043,3044,9803146,202147,9910179,6246,208166,12217,102159,9608086,9510241,9910179,5079,9808175,9906220
3044,3045,9804001,6176,9911098,12184,9135,210181,206132,9910244,9511145,9911098,8245,9812158,210230
3045,3046,9804006,103022,9911164,102112,206217,12170,9812093,9022,9512121,9911164,106112,10135,9905134
3046,3047,9804069,9135,9912227,111025,5014,7134,208142,203168,9512124,9912227,111211,103067,103165
3047,3048,9806024,101076,11029,211106,2199,204078,9412158,9908193,9603157,11029,9604174,108016,9803110
3048,3049,9806091,202189,102060,9902122,111111,212155,9804069,1011,9603206,102060,9801123,203231,9807040
3049,3050,9806110,206181,106086,106260,11056,201162,9809213,11024,9604128,106086,9903092,203260,111182
3050,3051,9806140,109015,107082,202147,110191,206116,111078,109182,9604200,107082,9910036,210184,9709107
3051,3052,9806182,2242,108055,206046,9911246,202094,9812180,9602174,9605054,108055,3218,9205062,9611214
3052,3053,9806213,204084,203066,212105,4021,4114,5152,9812052,9606143,203066,5128,9311189,9117
3053,3054,9807240,10151,204149,9907129,208201,7089,9603073,12029,9606148,204149,8213,9510220,108080
3054,3055,9808079,9909180,9811228,106168,209133,101144,9707258,101049,9607007,9811228,204090,9602010,9603167
3055,3056,9808080,201007,9909035,206218,209111,106001,9809055,103211,9607020,9909035,205061,9605091,9702168
3056,3057,9809168,7089,9911100,1211,12217,5148,9905179,106162,9607062,9911100,9611133,9612062,3019
3057,3058,9809195,110216,10135,9017,9910092,108193,111002,9509175,9607107,10135,9703126,9801182,10124
3058,3059,9809213,106220,10137,10026,103031,106240,9311038,9607045,9607126,10137,11136,9901050,112006
3059,3060,9810239,106210,11160,212228,303014,9911193,2027,109193,9608070,11160,102007,9908060,9706157
3060,3061,9811013,109214,201151,302096,106103,212151,4195,212348,9608086,201151,106256,9911222,9907219
3061,3062,9811021,9912210,9508039,103022,205003,108176,202135,9810123,9608127,9508039,205074,1047,12082
3062,3063,9811056,7247,9510233,110046,7247,3286,9507144,9703009,9608174,9510233,211051,6112,102188
3063,3064,9811256,3151,9908013,203251,11137,203038,9606102,9710215,9608194,9908013,9706170,10091,9910067
3064,3065,9812061,112197,108016,9904017,2166,4021,9205009,9902080,9609062,108016,9906068,12136,206097
3065,3066,9901014,205273,203256,9904148,101144,5013,9802147,3002,9609095,203256,9806205,12211,9707062
3066,3067,9902087,7106,205230,10195,212239,12156,9503208,12165,9609128,205230,9809104,107082,207255
3067,3068,9903093,9910092,207117,210175,206200,112165,9701122,9611040,9609211,207117,9912098,108115,10275
3068,3069,9904018,5145,9205062,212320,7106,102146,6100,9807062,9609238,9205062,9912141,201151,12263
3069,3070,9904116,5172,9301047,9804182,207259,202142,8192,206046,9610134,9301047,11056,202057,9801149
3070,3071,9904190,9221,9608108,103110,101161,211213,9206060,9509148,9610166,9608108,12221,9302144,10244
3071,3072,9905159,110119,9708021,106205,204152,11044,9612108,9701154,9610252,9708021,204154,9311012,207140
3072,3073,9906027,10195,9802023,108100,212090,102181,9612207,9801120,9611186,9802023,209075,9712022,5090
3073,3074,9906214,104149,9905094,205163,2160,201191,9705165,9507040,9611197,9905094,10208,9803127,103110
3074,3075,9908022,212323,9909229,206214,6176,9911091,9203022,9608129,9611205,9909229,206152,9809009,210211
3075,3076,9908064,11137,4097,207016,201228,9043,9205056,9712090,9612084,4097,210241,9904063,9240
3076,3077,9908094,206122,6202,9911152,202071,109214,9712075,6224,9612108,6202,9706067,9905094,204227
3077,3078,9909163,6202,101088,5208,108193,107199,9902079,101185,9612174,101088,9708165,9508039,9804173
3078,3079,9909214,107140,107204,10194,3053,9904190,108150,202025,9612182,107204,9803259,9510233,2205
3079,3080,9911080,7225,108085,111122,102146,212323,205109,207258,9612188,108085,9808036,9705240,12268
3080,3081,9911117,10071,108115,210124,10137,103165,9210015,9704097,9612224,108115,7067,9707170,208107
3081,3082,9911193,111038,9309041,211124,204173,9806159,5145,9903216,9612236,9309041,101122,9801038,2138
3082,3083,9912098,5028,9510220,207180,202155,104054,11244,3124,9701019,9510220,204071,9907225,9811217
3083,3084,9912125,209154,9601168,9909179,111166,212328,9404180,9912225,9701128,9601168,205314,9909035,11045
3084,3085,9912180,10177,9602010,102095,7134,9910092,9509166,4061,9702045,9602010,204171,102060,101126
3085,3086,9912232,11140,9803127,103117,6247,1193,9712166,9607235,9702061,9803127,302138,9709054,1216
3086,3087,1005,208120,9907225,109176,6251,102128,9709122,9904117,9702109,9907225,9910268,9807082,9811106
3087,3088,1092,107198,1047,110274,203051,11128,9912184,206196,9702164,1047,107064,9912227,9705165
3088,3089,2183,1177,106274,209166,9909180,9910098,6008,9607027,9702165,106274,107072,10217,109099
3089,3090,2194,4072,111177,9803251,104100,9912206,9201020,101069,9703039,111177,107123,9512152,212295
3090,3091,2226,211213,111238,208143,110088,111111,9612148,204030,9703075,111238,207112,9802023,111109
3091,3092,3115,101186,209231,9912187,103022,204152,9705113,9908160,9703150,209231,9411014,9909203,9911160
3092,3093,3147,110118,9504086,4186,5172,9805139,12137,9050,9703178,9504086,9610031,9236,111017
3093,3094,3151,7058,9611182,12047,202189,205110,9608167,9909112,9703201,9611182,9804163,111177,9912088
3094,3095,3184,209266,9712022,108038,109214,8087,109053,7137,9704051,9712022,110110,208041,210219
3095,3096,3203,106075,9804206,210184,102176,107168,206223,110122,9704057,9804206,207157,209003,112058
3096,3097,4093,3053,9812139,211160,9806159,206122,209067,210117,9704087,9812139,212230,9605051,105314
3097,3098,6028,210275,11001,9809172,207273,104100,9606113,9804182,9704093,11001,9408034,9610155,7017
3098,3099,6172,110063,106033,11143,110216,5172,9911080,9909048,9704147,106033,9703207,9906248,9412131
3099,3100,6202,212093,206164,211272,7058,205306,206090,9506065,9705004,206164,9709183,9908013,203213
3100,3101,6232,12064,207228,9810194,112197,10071,9602174,8096,9705050,207228,9911010,9908130,12242
3101,3102,8090,9902058,9405121,9902022,1193,207259,9807223,101039,9705123,9405121,110200,9910182,207173
3102,3103,8112,205003,9503158,205177,212272,112008,9206044,106108,9705127,9503158,9702075,9911100,9901032
3103,3104,9117,112150,9708141,9901091,202147,7225,9704123,110106,9705175,9708141,9704126,3145,202005
3104,3105,10127,1033,9812158,204252,9911170,11137,9709199,203224,9705176,9812158,108223,108106,111180
3105,3106,10190,207118,9903239,9809027,206181,9172,9807034,207162,9705190,9903239,202093,204002,9901128
3106,3107,10242,6247,5220,9811107,3115,102182,9912153,9127,9705212,5220,9801008,205121,9905157
3107,3108,11079,102182,12136,5103,10194,9803109,8227,205109,9706050,12136,9802041,208042,201197
3108,3109,11117,10090,204002,102135,201007,9906018,10122,9703039,9706099,204002,5194,210308,9610168
3109,3110,11185,2166,206117,209131,212323,7058,106185,12117,9706221,206117,12129,9309041,204234
3110,3111,12218,1071,211125,104122,109015,7247,9706207,201135,9707016,211125,211161,9405121,204233
3111,3112,101101,304235,9402120,212239,110274,104091,9911091,207215,9707083,9402120,212064,9702205,9802178
3112,3113,102120,10021,9512152,12197,1177,8051,108003,9606039,9707214,9512152,9803081,9705058,3185
3113,3114,103219,108216,9702205,112138,7217,207209,11113,9608047,9707222,9702205,4081,9804206,201218
3114,3115,104049,4114,9902168,202049,208204,212198,106022,205115,9707235,9902168,108007,9805206,9704165
3115,3116,106008,203246,9908130,212054,5272,212219,9909082,9806245,9707258,9908130,108038,9902045,9903217
3116,3117,106079,211016,8201,212259,210275,3115,3300,9904110,9708025,8201,9807087,9908085,9711072
3117,3118,106151,201019,101209,10023,11238,104174,106121,7177,9708031,101209,9903254,6215,206014
3118,3119,106218,103151,108106,101205,9221,9803174,9812117,12134,9708060,108106,9911183,102128,101135
3119,3120,107057,203025,9412128,203276,201097,112135,9908022,104227,9708065,9412128,2229,106274,9708025
3120,3121,107115,302164,9510178,2125,106220,108216,2090,206141,9708074,9510178,204112,9503158,10054
3121,3122,107127,11092,9606098,9912013,9911193,6202,112205,9508117,9708137,9606098,9612011,9504086,204257
3122,3123,107265,9911039,9705058,8102,102182,11238,9605216,9710239,9709034,9705058,1208,9601077,9306041
3123,3124,108016,11195,9708147,211048,11140,206203,9610252,106265,9709116,9708147,2160,9902168,104054
3124,3125,108114,108237,9709054,106209,201019,6247,104146,302131,9709137,9709054,204115,5137,9512188
3125,3126,108165,210241,9711102,106243,205273,9812025,9204102,304219,9709224,9711102,9805136,6209,211238
3126,3127,108196,208109,9805206,201203,106210,12074,9706050,110127,9710102,9805206,9810006,8144,9811240
3127,3128,109075,212284,9812193,202062,9909110,109040,9912208,209139,9710104,9812193,6190,11001,9709160
3128,3129,110035,209065,9906248,209259,3241,207273,110143,9803135,9710127,9906248,8234,108055,9811177
3129,3130,110271,11226,211142,9908165,110063,112138,9511193,9805189,9710147,211142,12093,110189,103206
