,Rank,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
3518,3519,212281,1013,203019,204085,212281,9308005,9811208,9910126,106004,9712057,9712057,103117
3519,3520,301035,1112,212109,102210,301035,9308042,211020,108056,106268,9808060,9808060,103118
3520,3521,303115,3056,11184,209102,303115,9308060,301047,101077,108094,106054,106054,103119
3521,3522,9308083,6093,108132,106019,9308083,9309011,209223,7021,302052,9609084,9609084,103120
3522,3523,9408155,8008,102065,8041,9408155,9309016,112094,9911112,9708099,9911154,9911154,103121
3523,3524,9510129,101198,105205,112098,9510129,9309107,2030,212203,9803232,103111,103111,103122
3524,3525,9603100,101200,106269,211076,9603100,9309148,301063,8245,9909190,9605192,9605192,103123
3525,3526,9609112,101209,110177,203120,9609112,9311007,11251,11292,9910215,9611195,9611195,103124
3526,3527,9611090,103220,208173,9910124,9611090,9311037,105307,108115,5186,9701092,9701092,103125
3527,3528,9612051,104208,209114,208184,9612051,9311156,203026,207096,103206,9608034,9608034,103126
3528,3529,9612207,105076,212147,109168,9612207,9311181,208037,203036,208005,9611045,9611045,103127
3529,3530,9703176,105199,3072,304015,9703176,9311187,202179,104218,210215,9808025,9808025,103128
3530,3531,9705053,106016,111076,9062,9705053,9312158,9803167,4126,9703095,9811208,9811208,103129
3531,3532,9707259,106058,111217,7044,9707259,9402004,9909069,8090,9711073,9604186,9604186,103130
3532,3533,9709139,106121,112166,201018,9709139,9403121,211030,111220,9809044,9608063,9608063,103131
3533,3534,9709206,106140,202042,9146,9709206,9403192,3067,101080,9811140,9805059,9805059,103132
3534,3535,9802091,106256,202184,302224,9802091,9404056,303050,3185,9812251,9809032,9809032,103133
3535,3536,9802197,107200,9810123,106026,9802197,9404115,304261,211082,2008,9904013,9904013,103134
3536,3537,9803097,108001,9912242,9911181,9803097,9408098,9210,203112,5271,9907046,9907046,103135
3537,3538,9803260,108003,4022,205034,9803260,9409110,209082,2091,7061,9508165,9508165,103136
3538,3539,9805209,108064,109152,112004,9805209,9409134,202084,4155,8157,9608060,9608060,103138
3539,3540,9807196,108152,109187,104155,9807196,9410046,9908186,6069,109103,9907022,9907022,103139
3540,3541,9807216,109165,110235,112038,9807216,9501124,11073,2145,110225,101088,101088,103140
3541,3542,9811033,109222,110299,6168,9811033,9502001,203030,204129,202010,9903144,9903144,103141
3542,3543,9811042,201016,111107,109112,9811042,9502030,107102,2191,203268,9905175,9905175,103142
3543,3544,9811048,202017,209265,9910149,9811048,9502091,12240,9906194,205279,9606133,9606133,103143
3544,3545,9811140,205301,212223,201042,9811140,9503082,108158,201039,206255,9706153,9706153,103144
3545,3546,9811245,206248,9909053,2175,9811245,9503088,9806158,103099,207244,9808069,9808069,103145
3546,3547,9812055,207037,5183,204047,9812055,9503170,9912135,210004,301082,9401006,9401006,103146
3547,3548,9812066,207146,8167,103021,9812066,9504143,211107,210117,9508098,9701048,9701048,103147
3548,3549,9812078,208014,9083,203264,9812078,9506125,107243,302077,9705073,9702155,9702155,103148
3549,3550,9902122,9706007,10121,2156,9902122,9506170,10104,210006,9711156,9410016,9410016,103149
3550,3551,9902128,9711102,11033,11190,9902128,9507045,205176,9909071,9801173,9504113,9504113,103150
3551,3552,9902179,9712061,104201,103155,9902179,9507060,9903094,209214,9802170,105288,105288,103151
3552,3553,9904098,9801081,108231,201201,9904098,9508142,9909203,212016,9902090,204084,204084,103152
3553,3554,9904116,9801128,108245,211232,9904116,9511187,106189,9910261,9907107,9412166,9412166,103153
3554,3555,9905097,9805056,211278,10063,9905097,9511230,108001,12139,12255,9809067,9809067,103154
3555,3556,9905112,9805070,3261,107220,9905112,9512173,301174,101104,105166,204196,204196,103155
3556,3557,9907164,9805176,103048,5001,9907164,9601151,110074,301154,109102,9702109,9702109,103156
3557,3558,9908201,9806011,103184,212275,9908201,9604136,302085,110250,205304,9806129,9806129,103157
3558,3559,9909179,9810024,206073,208043,9909179,9605168,105001,6160,208028,9807100,9807100,103158
3559,3560,9910144,9901020,209244,9203,9910144,9606187,4146,206191,9703065,9903005,9903005,103159
3560,3561,9911152,9901124,9120,11281,9911152,9607056,203188,7115,9709022,9308075,9308075,103161
3561,3562,9911190,9903242,103233,210178,9911190,9608127,111052,102174,9711163,9610250,9610250,103162
3562,3563,9911240,9904078,106055,105229,9911240,9609062,202087,105186,9911068,9706175,9706175,103163
3563,3564,9912036,9905031,108072,105304,9912036,9611123,202197,211019,2232,9706223,9706223,103164
3564,3565,1205,9906246,205092,212143,1205,9612089,11046,105093,5003,9901144,9901144,103165
3565,3566,2012,9907038,207185,304038,2012,9612114,112180,5244,108215,4087,4087,103166
3566,3567,3022,9907132,7141,4080,3022,9612174,109070,11059,111144,4090,4090,103167
3567,3568,3226,9907155,102105,4166,3226,9612181,11239,110103,112040,6251,6251,103168
3568,3569,3281,9912157,107232,112214,3281,9701085,301084,110036,112111,101029,101029,103169
3569,3570,4098,3100,208231,11066,4098,9701172,9806235,9806195,203046,205106,205106,103170
3570,3571,5026,3249,209064,12145,5026,9702056,209117,106079,209172,9802133,9802133,103171
3571,3572,5114,103197,105106,203259,5114,9703178,110134,11264,210044,9603002,9603002,103172
3572,3573,5167,103198,107018,110132,5167,9703190,3205,3262,210048,9605233,9605233,103173
3573,3574,5210,107007,211098,108017,5210,9703211,5145,107068,304005,9701061,9701061,103174
3574,3575,5256,201149,211112,8019,5256,9704055,9902047,11185,304240,9805065,9805065,103175
3575,3576,6194,202045,302071,11269,6194,9705123,11089,211192,9707150,9912232,9912232,103176
3576,3577,8004,202176,9801207,303247,8004,9705225,9905085,207002,9712202,103003,103003,103177
3577,3578,8019,204253,102192,212298,8019,9706013,106146,208139,9903128,9603147,9603147,103178
3578,3579,8042,9711089,211127,109182,8042,9706208,9811047,101160,1098,9603188,9603188,103179
3579,3580,8079,9806085,211290,102184,8079,9707025,109130,205210,2068,9702138,9702138,103180
3580,3581,8087,9901135,302181,10279,8087,9707184,10274,104262,9165,9705174,9705174,103181
3581,3582,9010,9904075,101076,4085,9010,9708025,106218,9807171,12084,102159,102159,103182
3582,3583,9062,9910050,102168,101198,9062,9708060,106184,10045,103159,104023,104023,103183
3583,3584,10044,9910171,112055,302190,10044,9708127,208129,202002,108082,9402057,9402057,103184
3584,3585,10144,9910181,202129,102113,10144,9708130,203241,202190,108156,9902104,9902104,103185
3585,3586,10204,9910188,206204,104143,10204,9709030,211210,106027,205271,9611178,9611178,103186
3586,3587,10256,9407151,212169,211003,10256,9711057,9903238,210243,209146,9705202,9705202,103187
3587,3588,11016,9410138,212242,111127,11016,9711128,112133,208104,9612239,106206,106206,103188
3588,3589,11075,9411163,9909068,209079,11075,9712213,206217,103149,9708167,9407005,9407005,103189
3589,3590,11119,9504083,8169,9019,11119,9712223,9807097,206003,9903244,9408119,9408119,103190
3590,3591,11217,9511052,9037,204080,11217,9801087,206064,105007,9909200,9704050,9704050,103191
3591,3592,101200,9701009,10171,6139,101200,9801114,106206,7147,1062,9705027,9705027,103192
3592,3593,101210,9709219,103084,207226,101210,9802012,2002,304221,2229,9811090,9811090,103193
3593,3594,101236,9902032,106187,8128,101236,9802061,110191,112085,3136,9906214,9906214,103194
3594,3595,102009,9907030,112206,9912058,102009,9802194,103079,1066,4114,9912184,9912184,103195
3595,3596,102016,9505046,211006,202152,102016,9803011,212339,11225,8164,2075,2075,103196
3596,3597,102099,9605201,9805051,201218,102099,9804028,9903078,101049,11168,5032,5032,103197
3597,3598,102159,9605224,2166,9135,102159,9805006,9904198,107173,108225,106267,106267,103198
3598,3599,103095,9612089,201170,103233,103095,9805143,205078,212083,209016,301240,301240,103199
3599,3600,103246,9612174,9801038,111030,103246,9806066,202042,9902058,211152,9409039,9409039,103200
3600,3601,104049,9707241,104164,207097,104049,9806094,203116,12030,212131,9704052,9704052,103201
3601,3602,104164,9806082,108165,204038,104164,9806158,211103,9910237,303244,9704202,9704202,103202
3602,3603,104262,9807123,209182,108113,104262,9808111,202112,105136,9403048,101082,101082,103203
3603,3604,106076,9808042,9812160,205320,106076,9809213,12218,2222,9705011,107173,107173,103204
3604,3605,106078,9911153,6020,11177,106078,9810022,106134,205214,9711006,9903257,9903257,103205
3605,3606,106190,9402107,101113,107098,106190,9810090,209157,9909212,11187,9610094,9610094,103206
3606,3607,106245,9408014,102077,3096,106245,9812028,304013,7075,106256,9908116,9908116,103207
3607,3608,107022,9606181,110255,12255,107022,9812132,212163,9910081,202105,9909022,9909022,103208
3608,3609,107098,9805189,202173,112122,107098,9812161,205006,12131,205070,3020,3020,103209
3609,3610,107114,9909011,3061,212292,107114,9812209,9807150,301133,206163,9503162,9503162,103211
3610,3611,107124,106062,110030,111199,107124,9812232,9906206,201226,207222,9510029,9510029,103212
3611,3612,107142,203065,111061,8245,107142,9812237,106205,211268,209267,9603101,9603101,103213
3612,3613,108128,9209003,207193,102001,108128,9901045,208087,108087,303148,9703179,9703179,103214
3613,3614,109019,9302033,209263,105269,109019,9901050,111210,109024,9612201,9806019,9806019,103215
3614,3615,109121,9401069,9805113,106249,109121,9902005,9807156,203149,9707083,9811108,9811108,103216
3615,3616,109173,9406067,110215,105296,109173,9902153,212206,206105,9908209,9705056,9705056,103217
3616,3617,109191,9507153,209203,9224,109191,9903090,302207,108096,3285,101033,101033,103218
3617,3618,110007,9705127,9806066,109186,110007,9905094,107034,106179,4188,204103,204103,103219
3618,3619,110036,9708157,8250,4186,110036,9906167,9901057,11101,102081,9708048,9708048,103220
3619,3620,110064,9711032,9810251,201172,110064,9906217,110122,9912012,105083,9912281,9912281,103221
3620,3621,110112,9907090,9159,2187,110112,9906235,203069,210118,202116,9412076,9412076,103222
3621,3622,110187,108169,108078,212178,110187,9907186,2202,112155,205289,9811128,9811128,103223
3622,3623,110250,9404180,110006,110255,110250,9907219,105176,3184,209050,9408005,9408005,103224
3623,3624,111284,9801108,9805146,201089,111284,9909120,112191,1144,211057,9605222,9605222,103225
3624,3625,112037,9807064,111254,7022,112037,9909203,211016,106192,302196,9706156,9706156,103226
3625,3626,112038,9903057,204103,107011,112038,9910036,9910047,209174,303218,9805217,9805217,103227
3626,3627,112101,9906223,209027,303227,112101,9910099,212170,112181,9503166,9904118,9904118,103228
3627,3628,112116,9209023,211130,208067,112116,9911190,9911161,11075,9512218,101078,101078,103229
3628,3629,112126,9305047,9712130,9907158,112126,1068,111113,11230,9604090,9603009,9603009,103230
3629,3630,201247,9511104,9803180,9910174,201247,2027,201172,210059,9705034,9710124,9710124,103231
3630,3631,201258,9604147,3205,108233,201258,2100,211173,302028,9804016,9908094,9908094,103232
3631,3632,202045,9605113,106138,112015,202045,2132,203051,104264,9804017,9912225,9912225,103233
3632,3633,202116,9708123,108234,105242,202116,3261,9912044,4134,9808036,1029,1029,103235
3633,3634,202129,9712109,111178,204243,202129,3273,9807033,7198,9901017,106047,106047,103236
3634,3635,202207,9712162,304224,12065,202207,9160,5110,12081,9901130,9707082,9707082,103237
3635,3636,203005,9806136,2192,110111,203005,101043,107265,7106,9905222,9801192,9801192,103238
3636,3637,203099,9807040,6235,201159,203099,102009,103052,7197,10280,9508072,9508072,103239
3637,3638,203188,9811092,211220,101057,203188,102159,108043,211016,109043,3242,3242,103240
3638,3639,203190,9906012,110099,106012,203190,103103,9064,11008,109213,7159,7159,103241
3639,3640,204185,104169,201016,112134,204185,104099,9904034,110164,111015,9607089,9607089,103242
3640,3641,205080,9306145,302207,9175,205080,104200,209027,208062,202012,9701060,9701060,103243
3641,3642,205084,9411198,303151,9167,205084,104227,201155,3180,203215,9803137,9803137,103244
3642,3643,205184,9501144,9711006,205253,205184,104247,107110,7137,203267,9812094,9812094,103245
3643,3644,205281,9503227,212143,202178,205281,105036,5208,105314,205227,9905038,9905038,103246
3644,3645,205283,9504129,304192,209227,205283,105095,105296,112015,207160,1204,1204,103247
3645,3646,206089,9604152,9811116,6190,206089,105214,210081,9908004,208178,107138,107138,103248
3646,3647,206126,9705225,9905015,3173,206126,105249,202109,202017,211031,9507085,9507085,103249
3647,3648,206223,9707014,12175,201055,206223,105254,11095,7141,9409069,9703099,9703099,103250
3648,3649,207034,9707215,107044,7007,207034,105311,302199,4113,9607003,9809070,9809070,103251
3649,3650,207076,9708034,201174,106145,207076,106200,9907158,108207,9712194,9902066,9902066,103252
3650,3651,207111,9710141,208153,106094,207111,106274,107141,107155,9801124,9907088,9907088,103253
3651,3652,208009,9711194,212278,107153,208009,107044,9903142,107060,9807037,9802178,9802178,103254
3652,3653,208110,9712103,303107,103259,208110,108007,203244,9905118,9902190,108055,108055,103255
3653,3654,208127,9801066,5026,204152,208127,108010,105088,9908129,101061,9512112,9512112,103256
3654,3655,208227,9806109,8010,5066,208227,109177,105199,9908109,110186,9610163,9610163,103257
3655,3656,209191,9810123,102097,8140,209191,201004,206213,207014,209149,9707003,9707003,103258
3656,3657,209224,9812087,106022,10090,209224,201095,110077,10280,211050,9805038,9805038,103259
3657,3658,209231,9902051,106196,201132,209231,202142,6033,2165,211063,9811146,9811146,103260
3658,3659,209251,9708089,107242,204156,209251,203040,9902101,208129,9408082,9812101,9812101,103261
3659,3660,210133,9803096,210070,105220,210133,203198,11242,9112,9508110,9903059,9903059,103262
3660,3661,211118,9811211,210131,105254,211118,205280,212247,1055,9607233,9912142,9912142,103263
3661,3662,211289,9903078,212312,111102,211289,205321,206208,10202,9611136,106064,106064,103264
3662,3663,212088,9904040,9911186,2111,212088,207034,112169,212041,9903237,9802029,9802029,103265
3663,3664,212233,9909020,1093,4097,212233,207061,203014,9911206,4032,9909098,9909098,104002
3664,3665,302087,9911115,12068,103045,302087,207130,12064,207068,5028,109165,109165,104003
3665,3666,302181,101164,110289,7110,302181,208038,101076,5248,5274,9509080,9509080,104004
3666,3667,304045,103111,302148,5094,304045,209034,105283,9806123,111096,9607176,9607176,104005
3667,3668,304093,108221,304108,110280,304093,9201011,107232,203188,112183,9708054,9708054,104006
3668,3669,304163,9502091,9803215,11122,304163,9202074,304076,9805131,112198,9801042,9801042,104007
3669,3670,304206,9508117,12111,101096,304206,9204026,304037,204235,204232,9906052,9906052,104008
3670,3671,304224,9701185,106240,9911215,304224,9204031,111109,9909229,209054,109092,109092,104009
3671,3672,9306052,9710248,205183,209003,9306052,9204097,9903195,10023,301083,9604124,9604124,104010
3672,3673,9506109,9801120,210146,203016,9506109,9206003,210042,9906101,303005,9706017,9706017,104011
3673,3674,9507022,9804060,9810090,2076,9507022,9206033,4115,203060,9404063,9906201,9906201,104012
3674,3675,9512129,9804093,106034,110112,9512129,9206071,303091,211017,9706154,9907191,9907191,104013
3675,3676,9612105,9805064,106079,106004,9612105,9206098,103151,8054,9710103,9912037,9912037,104014
3676,3677,9705188,9810200,106162,9907143,9705188,9207114,9811257,9812072,9804078,9507074,9507074,104015
3677,3678,9705192,9812092,111041,205203,9705192,9208057,212205,9910115,9808173,9911115,9911115,104016
3678,3679,9707143,9901106,9807019,9911221,9707143,9209099,9805129,104159,9905105,101176,101176,104017
3679,3680,9711117,9903269,111048,5048,9711117,9210109,9808117,109168,11166,108238,108238,104018
3680,3681,9712040,9904073,112221,103060,9712040,9211066,11185,209003,105125,9604168,9604168,104019
3681,3682,9712184,9905002,206153,9912232,9712184,9212068,204102,212299,107263,9906125,9906125,104020
3682,3683,9801181,9905205,206176,203256,9801181,9302050,103035,106036,201075,101097,101097,104021
3683,3684,9802199,9907188,12013,5206,9802199,9304012,112012,9160,205286,206078,206078,104022
3684,3685,9804029,1145,112049,10206,9804029,9304053,302179,9905064,302130,9510055,9510055,104023
3685,3686,9804069,2149,9911153,208068,9804069,9305097,9016,209069,9506064,9511081,9511081,104024
3686,3687,9804093,2198,5115,5239,9804093,9305100,10112,105174,9706210,9608190,9608190,104025
3687,3688,9804131,2256,109076,105307,9804131,9306077,11008,5268,9805042,9701073,9701073,104026
3688,3689,9806015,3295,111276,112118,9806015,9306117,211124,109137,6005,9710248,9710248,104027
3689,3690,9806128,4062,112133,110141,9806128,9308057,301031,208174,9075,9801057,9801057,104028
3690,3691,9811134,4112,211206,206011,9811134,9308151,12258,302163,102036,9910251,9910251,104029
3691,3692,9812038,6102,212066,104050,9812038,9310035,109197,8106,102052,9603011,9603011,104030
3692,3693,9812225,7206,12155,9903190,9812225,9312001,5029,206044,107241,9702019,9702019,104031
3693,3694,9901095,101194,101080,206206,9901095,9312169,209137,9806159,209247,9906081,9906081,104032
3694,3695,9902047,101207,102086,108095,9902047,9401009,207238,11147,303157,201016,201016,104033
3695,3696,9903160,101211,102178,205264,9903160,9401062,9912165,3096,9410193,9610237,9610237,104034
3696,3697,9904135,102070,107034,8125,9904135,9401099,107097,9911172,9705238,9709042,9709042,104035
3697,3698,9906054,102174,111198,2132,9906054,9402039,203202,103142,9707097,9712006,9712006,104036
3698,3699,9906148,104262,209076,10282,9906148,9402042,201223,3218,9708107,9908140,9908140,104037
3699,3700,9906153,105047,9909119,104215,9906153,9403050,302086,209161,9811251,9910048,9910048,104038
3700,3701,9906168,106004,1053,106079,9906168,9403111,9019,11091,9910027,103063,103063,104039
3701,3702,9906244,106186,2129,107215,9906244,9405014,103067,9910045,6244,108191,108191,104041
3702,3703,9907008,106201,12227,112207,9907008,9405034,212239,9910040,7207,9906235,9906235,104042
3703,3704,9907186,107011,101185,2087,9907186,9406009,9808075,205247,105302,9912081,9912081,104043
3704,3705,9907206,107022,111060,5193,9907206,9407056,10207,9910228,211201,3252,3252,104044
3705,3706,9908024,107106,9801145,211120,9908024,9407099,10138,205211,302045,107051,107051,104045
3706,3707,9908106,107126,9906109,105176,9908106,9407134,208040,211196,9405052,9710041,9710041,104046
3707,3708,9908147,109017,106194,208055,9908147,9408066,10256,112118,9805058,9711202,9711202,104047
3708,3709,9909017,109019,109170,2086,9909017,9501004,3245,9910099,9811158,9901045,9901045,104048
3709,3710,9909020,109064,109200,110269,9909020,9503201,9911181,111096,9906089,9911097,9911097,104049
3710,3711,9909027,109065,112139,6117,9909027,9505009,9911218,107106,9906166,9702198,9702198,104050
3711,3712,9909048,109150,207004,202111,9909048,9505190,12106,9905180,9911013,9806204,9806204,104051
3712,3713,9909102,201127,212067,109174,9909102,9506157,101040,2157,3085,201257,201257,104052
3713,3714,9910066,202198,212118,12093,9910066,9506169,109160,104069,5194,202153,202153,104053
3714,3715,9911091,203161,5210,11290,9911091,9506193,210008,206016,6066,105276,105276,104054
3715,3716,9911124,203268,10110,9910087,9911124,9506206,304066,105061,10050,9607164,9607164,104055
3716,3717,9911195,205043,11153,106010,9911195,9506207,302163,3245,12083,9802073,9802073,104056
3717,3718,9911230,205051,11220,9803001,9911230,9507109,201019,211052,105013,9904115,9904115,104057
3718,3719,1063,205180,107231,9909197,1063,9507140,109182,11223,105049,3237,3237,104058
3719,3720,1093,205303,210091,112138,1093,9508107,11056,2180,107222,9402002,9402002,104059
3720,3721,1123,206107,9711143,210280,1123,9509050,9901134,210311,203020,9411205,9411205,104060
3721,3722,1144,206166,9901021,104093,1144,9510036,201185,304109,208101,9704112,9704112,104061
3722,3723,1190,206237,101077,7203,1190,9510210,9806159,301073,209009,9801123,9801123,104062
3723,3724,2061,207214,102010,107054,2061,9601073,206080,302026,211020,9809024,9809024,104063
3724,3725,2111,208042,108190,107002,2111,9602074,203053,10028,301034,9911172,9911172,104064
3725,3726,2150,208124,202029,8155,2150,9602096,111094,9804006,304167,1098,1098,104065
3726,3727,3019,208165,212200,101236,3019,9605011,204006,208015,9712033,4080,4080,104066
3727,3728,3148,208197,9809164,203260,3148,9605187,210146,9159,9806003,105123,105123,104067
3728,3729,3245,209263,109150,9906206,3245,9605201,9907126,201012,9901066,3017,3017,104068
3729,3730,4037,9203079,112100,9905180,4037,9606133,10025,212102,9903213,3116,3116,104069
3730,3731,4159,9205009,201128,12074,4159,9607007,201032,303079,7007,9901038,9901038,104071
3731,3732,5036,9304026,211030,8016,5036,9607078,211194,106263,106140,9908130,9908130,104073
3732,3733,5163,9402147,303115,107141,5163,9607151,9905097,109160,201126,9605209,9605209,104075
3733,3734,5208,9505173,5117,101102,5208,9607200,103177,9804058,202065,9901012,9901012,104076
3734,3735,6009,9603206,109168,203089,6009,9609065,107143,7087,205138,9910082,9910082,104077
3735,3736,6019,9607107,201038,7083,6019,9610131,109222,211165,301126,101163,101163,104078
3736,3737,6160,9612194,211142,112235,6160,9610157,105217,107148,9512174,9509105,9509105,104079
3737,3738,9060,9701028,202195,5013,9060,9610192,211226,104168,9702002,9601123,9601123,104080
3738,3739,9110,9705050,301059,4005,9110,9611184,105061,205136,9709062,2184,2184,104081
3739,3740,9127,9710215,301184,107071,9127,9612203,108002,209079,9804186,9803120,9803120,104082
3740,3741,10002,9711131,3033,9911161,10002,9701128,5176,203218,9808130,9804199,9804199,104084
3741,3742,10222,9802133,12064,111130,10222,9701170,301126,8050,9906174,9904026,9904026,104085
3742,3743,10280,9803196,106146,107111,10280,9703201,212188,3020,9907048,9411009,9411009,104086
3743,3744,11088,9804081,205163,208071,11088,9704093,105284,107226,3221,9411170,9411170,104087
3744,3745,11281,9811008,207114,110092,11281,9705050,9903213,212133,6198,9609152,9609152,104089
3745,3746,11282,9812144,207183,101001,11282,9706142,9902067,5121,11001,9703167,9703167,104090
3746,3747,12075,9905033,208123,10026,12075,9707182,303105,208162,110091,9802139,9802139,104091
3747,3748,12081,9906099,211169,111200,12081,9707200,203201,2067,207149,9503019,9503019,104092
3748,3749,12143,9908125,2099,10202,12143,9707207,9806125,9912079,304023,9509148,9509148,104093
3749,3750,101027,9909107,101159,102185,101027,9707215,112244,303158,9502104,9606098,9606098,104094
3750,3751,101232,9909116,104209,112220,101232,9707246,11241,103196,9609165,9909049,9909049,104095
3751,3752,102032,1003,106129,111209,102032,9708122,9906155,102099,9704015,3176,3176,104096
3752,3753,102212,2146,212052,8001,102212,9708157,104169,1071,9706067,101213,101213,104097
3753,3754,103032,2176,205043,108164,103032,9709146,106174,112174,9710106,9511205,9511205,104098
3754,3755,104057,3099,9802007,4077,104057,9710102,212012,107071,9803014,9612087,9612087,104099
3755,3756,106138,4061,9802151,112169,106138,9710104,12118,103240,9910052,9807123,9807123,104100
3756,3757,106259,4076,205099,11010,106259,9710146,111030,102016,9910115,4126,4126,104101
3757,3758,106267,4090,9804121,112174,106267,9711156,107160,201035,2105,206010,206010,104102
3758,3759,106281,102093,9910138,6007,106281,9712144,9811120,9912272,5121,9604030,9604030,104103
3759,3760,107128,102103,110219,105106,107128,9801049,204149,107215,104016,9607243,9607243,104104
3760,3761,107199,103051,209090,204209,107199,9801057,104202,5182,104203,9709137,9709137,104105
3761,3762,107204,103135,212344,106107,107204,9801142,7147,9912258,110291,9807225,9807225,104106
3762,3763,107233,103217,9906210,109013,107233,9802032,9804141,210303,201058,9909150,9909150,104107
3763,3764,108013,104260,105188,204107,108013,9802199,111064,107096,203053,9611125,9611125,104108
3764,3765,108156,105245,111201,9025,108156,9804019,210155,106032,203104,103233,103233,104109
3765,3766,108167,105255,112012,8054,108167,9804172,112173,111291,203247,202208,202208,104110
3766,3767,109084,106076,212151,304059,109084,9805150,112114,7235,212101,207214,207214,104111
3767,3768,110031,107186,212235,102076,110031,9810169,101225,111102,212235,9701179,9701179,104112
3768,3769,110281,108102,9812143,103265,110281,9810224,2176,111036,9601104,9707049,9707049,104113
3769,3770,111082,108137,9911205,11279,111082,9811048,5160,107259,9704039,9807169,9807169,104114
3770,3771,112019,108201,104099,4133,112019,9811130,2086,110219,9910092,9809188,9809188,104115
3771,3772,112226,108215,9712141,104032,112226,9811201,9807093,304115,9912173,9911245,9911245,104116
3772,3773,201079,109121,9804105,10179,201079,9811224,3184,212239,12165,9307007,9307007,104117
3773,3774,201178,201144,9806144,211262,201178,9811228,108161,3269,102080,9710104,9710104,104118
3774,3775,202011,201159,9812163,303155,202011,9812159,9811019,3115,205092,9710207,9710207,104119
3775,3776,202107,201221,103244,206174,202107,9812238,9903214,107111,212210,103028,103028,104120
3776,3777,203119,202060,110072,9911112,203119,9901063,9903227,7056,301019,201015,201015,104121
3777,3778,203165,202139,110213,11225,203165,9902012,303064,105284,9806051,9611149,9611149,104122
3778,3779,204228,203119,205033,211021,204228,9902022,203038,207132,9812175,9804009,9804009,104123
3779,3780,204252,204110,208050,203061,204252,9902113,206137,6203,9906197,106065,106065,104124
3780,3781,205050,206087,211075,102016,205050,9902138,106067,209256,9907144,207037,207037,104125
3781,3782,205070,207002,202180,3299,205070,9903028,109086,108131,9912148,9402120,9402120,104126
3782,3783,205144,207135,9906039,6028,205144,9903213,210178,9016,4137,9509108,9509108,104127
3783,3784,205316,208023,9907094,105245,205316,9903230,302072,102159,7058,9703206,9703206,104128
3784,3785,206007,9303005,9910217,209027,206007,9903258,303173,110118,7173,2054,2054,104129
3785,3786,206158,9401025,106103,11114,206158,9904148,108050,9905046,8180,9407118,9407118,104130
3786,3787,206166,9505012,202155,111290,206166,9904149,103237,111290,10148,9611233,9611233,104131
3787,3788,207050,9505171,106249,110071,207050,9905162,10065,204165,102041,9612231,9612231,104132
3788,3789,207223,9506170,107127,201051,207223,9907204,103200,9901135,107255,9708170,9708170,104133
3789,3790,209043,9509009,111026,107060,209043,9908126,10027,11175,108029,105270,105270,104134
3790,3791,209056,9604134,201268,5026,209056,9909228,9912284,7223,109147,202135,202135,104135
3791,3792,209081,9605176,210148,6056,209081,9910040,4013,2111,202007,9910164,9910164,104136
3792,3793,209161,9608137,210300,10165,209161,9910055,111051,210054,208159,204240,204240,104137
3793,3794,210048,9609157,9802147,5210,210048,9910076,107185,204247,211216,9507005,9507005,104138
3794,3795,210068,9701168,9902102,111045,210068,9910081,106010,110215,303265,9901073,9901073,104139
3795,3796,210183,9703098,9905210,8046,210183,9911001,110265,9809033,9401139,9412187,9412187,104140
3796,3797,210254,9712177,5179,9909186,210254,9911110,101082,104023,9507141,9508103,9508103,104141
3797,3798,210265,9803041,10223,108150,210265,9912055,111132,207039,9508084,9709033,9709033,104142
3798,3799,210272,9805126,110008,207017,210272,9912125,9810069,205220,9512112,9802190,9802190,104143
3799,3800,212003,9807186,110048,303243,212003,9912242,108137,6251,9811193,9811134,9811134,104144
3800,3801,212136,9811083,205096,303158,212136,9912257,6239,4092,9906187,9905146,9905146,104145
3801,3802,212278,9903130,205170,301028,212278,9912293,207074,203061,9910249,9909221,9909221,104146
3802,3803,212343,9903139,302206,2174,212343,1107,6009,9802051,9911119,2090,2090,104147
3803,3804,301009,9905098,303054,204165,301009,1209,11048,103011,9912257,108165,108165,104148
3804,3805,301030,9905212,9804151,3237,301030,1213,103231,5137,111263,109058,109058,104149
3805,3806,301101,9906038,9807090,104095,301101,2106,302226,304087,201112,9603010,9603010,104150
3806,3807,301171,9906243,102160,9912045,301171,2172,101135,110112,211120,9903241,9903241,104151
3807,3808,302162,9909144,103064,107068,302162,2189,2092,304148,9608036,9907154,9907154,104152
3808,3809,304007,9910205,301193,202103,304007,2193,107173,108202,9704059,9910109,9910109,104153
3809,3810,304108,9911114,9904078,110022,304108,2228,107116,209254,9710179,9912101,9912101,104154
3810,3811,9603108,9912015,3286,102169,9603108,3012,2103,211189,9903174,9404180,9404180,104155
3811,3812,9704142,9912083,110169,3236,9704142,3103,110008,211274,9911028,9506194,9506194,104156
3812,3813,9707087,4158,212139,8119,9707087,3116,102063,209115,101102,9903225,9903225,104157
3813,3814,9707099,105050,301092,3269,9707099,3184,301130,6134,110114,101233,101233,104158
3814,3815,9708042,108219,103145,208218,9708042,3298,9910132,112214,110259,106020,106020,104159
3815,3816,9709122,9402031,104125,3245,9709122,4071,4039,10221,111008,9507051,9507051,104160
3816,3817,9710119,9606087,108119,207148,9710119,5028,11186,11038,112029,9704169,9704169,104161
