,Rank,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank
6637,6638,9703134,9310138,205136,9912154,208152,202203,9310138,9602097,209119,9609130,9812055,2206
6638,6639,9703133,9239,110202,1178,9903043,201113,9239,7138,205270,9610049,209011,9609133
6639,6640,9703132,9509003,9807206,9304128,9904042,9611188,9509003,211075,202210,9712029,11075,9812077
6640,6641,9703131,9811254,9904070,9604007,102133,3037,9811254,9910150,9803030,9611106,205308,212203
6641,6642,9703130,9501021,9168,9802102,9907058,209209,9501021,202184,9704165,9802130,7031,101109
6642,6643,9703129,9706035,9231,7013,6185,9612062,9706035,9510201,201051,9703049,9810149,109215
6643,6644,9703128,9412053,12186,6003,106028,9910219,9412053,9306039,206166,9801144,212200,9606024
6644,6645,9703127,9611055,207120,9610224,9905087,210124,9611055,9309023,9308129,9608084,9808125,9607058
6645,6646,9703126,205303,206047,9505157,9903212,9511222,205303,107244,9209085,9705181,9504108,201138
6646,6647,9703125,9411093,9811141,9910198,5108,6063,9411093,1011,2087,9712110,209255,9811256
6647,6648,9703124,9901095,9911249,9609003,9904021,9803116,9901095,201223,9612046,9807218,9910017,9804082
6648,6649,9703123,9406214,9912133,9510036,111232,210209,9406214,9401045,207237,9804038,9806065,9902045
6649,6650,9703122,9705091,211128,9409009,304235,103198,9705091,303057,9206032,9511037,9705153,9908105
6650,6651,9703121,12231,209187,9710147,5267,9908089,12231,12231,207173,9701045,9501090,9801120
6651,6652,9703120,9711124,9057,211217,9150,209059,9711124,9402041,9411118,3142,10102,9707056
6652,6653,9703119,109107,9811028,9909099,9905211,9611186,109107,9809160,5255,9508124,9412061,9908141
6653,6654,9703118,9809160,9809057,208153,9812158,11128,9809160,106282,9707035,9907123,9806246,204251
6654,6655,9703117,9503208,205044,210270,9810250,103203,9503208,9807195,9711067,9711132,9901003,3081
6655,6656,9703116,9301083,9908006,209265,209045,9806204,9301083,9310138,9902101,9901120,110051,10121
6656,6657,9703115,9401045,107051,9906160,103028,9702180,9401045,9239,202087,9602157,9903189,103107
6657,6658,9703114,9807195,110248,9407167,204127,209184,9807195,9509003,9504116,106176,9811129,105190
6658,6659,9703112,108094,9902046,9208001,2149,1189,108094,9501021,1215,102041,8091,9711092
6659,6660,9703111,9504030,9910208,109048,108218,9812209,9504030,9706035,9212124,108179,9311009,9709163
6660,6661,9703110,9812163,208119,2231,110248,9905115,9812163,9412053,9403022,112195,9804064,111103
6661,6662,9703109,106043,9806180,9705146,301232,9911215,106043,108094,9085,206063,9609073,201197
6662,6663,9703108,111077,112229,9708051,207215,210075,111077,3153,9812110,9712172,7022,9610130
6663,6664,9703107,210124,209110,9604147,9904118,9711036,210124,8247,9801057,9709139,9803160,9803086
6664,6665,9703106,9167,9909150,9306023,9909068,9701143,9167,9411093,9206106,9912107,10220,111026
6665,6666,9703105,9068,9908075,9601069,4129,9807051,9068,207123,9506071,9707209,9704101,109137
6666,6667,9703104,9802116,9804166,9510201,9810102,205292,9802116,205034,9811158,9511098,9910111,9503205
6667,6668,9703102,9708002,9911101,9810068,9809144,9903226,9708002,9706130,108070,9707075,102103,9805208
6668,6669,9703101,9512043,108218,9707163,9812104,210178,9512043,9301083,4093,9706155,2140,9803265
6669,6670,9703100,9711105,9909097,201189,9809184,9811214,9711105,9809165,211193,9810157,212112,9706151
6670,6671,9703099,9609052,9810148,212043,201141,9603183,9609052,9904043,209056,9801204,9912159,9078
6671,6672,9703098,108117,9903069,9211011,9805120,106196,108117,9406214,4061,9602144,9710085,3153
6672,6673,9703097,9806139,9811017,9302022,9811070,208156,9806139,105300,11104,9603183,9604153,109066
6673,6674,9703096,8247,208193,9509007,9904146,104250,8247,9807086,211186,9609225,9502083,9051
6674,6675,9703095,9802160,9903088,9701118,104006,9612121,9802160,205254,9510098,9511159,205179,9808086
6675,6676,9703094,301171,9809192,111030,205126,102181,301171,101134,9910067,9710247,209263,108037
6676,6677,9703093,11188,9812034,9403038,207213,9811194,11188,9505088,9312124,9812218,112128,111210
6677,6678,9703092,9903249,208112,9711146,9910106,203246,9903249,9909017,9406214,9707019,9706073,9712013
6678,6679,9703091,12061,11113,9606066,9011,205218,12061,9606190,9702158,9807055,9806113,8035
6679,6680,9703090,206197,102005,9910112,9908093,204115,206197,9711105,12130,9611195,9911018,9807122
6680,6681,9703089,9802090,8131,9205110,111150,9901076,9802090,9712176,206162,9704161,12125,10155
6681,6682,9703088,6098,9903056,9308060,206031,9912266,6098,208184,302209,9904019,9506187,9409040
6682,6683,9703087,3216,7071,6235,9912051,2078,3216,9611055,9406179,9602011,10263,9604064
6683,6684,9703086,107045,205073,9309013,207040,9910211,107045,210124,204244,9912236,9702190,9802100
6684,6685,9703085,212100,303150,9606004,104241,303251,212100,111005,9702109,2175,207166,9607017
6685,6686,9703084,210058,9802067,207124,9811134,9904068,210058,9606108,9610047,3285,1068,9804122
6686,6687,9703083,205254,9806011,9402057,203252,6095,205254,9504030,2052,9709138,9904141,7238
6687,6688,9703082,301182,9902051,9312043,9902068,9510080,301182,203061,9509014,107140,9904162,9703195
6688,6689,9703081,9701079,9910153,9510168,9910161,11113,9701079,9802160,9504030,110225,9605158,9803054
6689,6690,9703080,203111,5106,9810113,9908107,102089,203111,9603082,9609073,202148,9706139,9712054
6690,6691,9703079,9909017,9810251,8006,9911249,111123,9909017,212307,9508051,9910238,9311129,9510178
6691,6692,9703078,9905230,110167,9512216,9904086,9602067,9905230,9312021,9807043,9510207,211118,9808175
6692,6693,9703077,9911097,9903022,9502021,203266,11178,9911097,9903249,109079,9712155,210004,9910100
6693,6694,9703076,205083,9178,9412113,205097,9801029,205083,9610003,9211086,9904115,204064,207017
6694,6695,9703075,2145,9806051,9212038,9908106,107164,2145,9505074,301034,9807067,9901098,209241
6695,6696,9703074,205034,9909131,9210128,6145,9607151,205034,9909108,202029,9703148,9808114,9709055
6696,6697,9703073,206218,212196,9707185,9912072,9804206,206218,9708074,9610155,9604077,205151,9803058
6697,6698,9703072,1011,110170,9806153,209039,9603099,1011,9912082,9610133,9710198,206049,4004
6698,6699,9703071,9606108,206159,9610243,9812013,6165,9606108,9805180,9305070,7158,9807139,9804093
6699,6700,9703070,9705076,9902043,110103,9903056,9711067,9705076,212100,11186,9709023,3152,9903209
6700,6701,9703069,9602088,9906239,9607040,9808185,9705057,9602088,9611017,9809194,9910022,104176,9806068
6701,6702,9703067,205258,9807216,9811254,9909003,12013,205258,11188,101002,7126,201232,9811252
6702,6703,9703066,6171,110065,9504084,9903107,9608054,6171,102145,107152,12104,210126,109176
6703,6704,9703065,5277,111232,9810025,9804010,209025,5277,9611238,9903051,9707186,8216,9610177
6704,6705,9703064,9510036,9907110,9306096,103166,108110,9510036,12061,112148,9608095,9503009,9609194
6705,6706,9703063,101159,6024,5245,111269,110193,101159,208080,9707095,9907133,4123,9809186
6706,6707,9703062,9506019,9912280,204188,9138,11289,9506019,104232,9712045,9806154,9806188,9501051
6707,6708,9703061,9705229,9903224,9805075,102180,9707190,9705229,6171,108067,9712135,8008,107242
6708,6709,9703060,7255,9911182,9504130,9902055,9711089,7255,203111,9411219,9908125,9607056,9510109
6709,6710,9703059,207123,109119,9701102,9907117,9812238,207123,9705076,9017,9908035,9304037,7161
6710,6711,9703058,212253,5224,9402029,106274,106190,212253,212253,3056,9701011,9408024,9912141
6711,6712,9703057,9602054,9905115,9501037,201117,9906096,9602054,9911097,11226,9904153,9411242,9707034
6712,6713,9703056,9704202,9809090,11108,9050,7175,9704202,9811220,210023,3072,106104,9710091
6713,6714,9703055,105300,303154,9503005,8146,3090,105300,9701079,9312214,5162,9606104,207036
6714,6715,9703054,9611140,106274,9201001,10292,9812120,9611140,107045,110137,9808143,9703003,9310191
6715,6716,9703053,9911154,1035,9206096,9810204,9808073,9911154,9805106,9611073,9803108,103177,7033
6716,6717,9703052,9712176,108162,304057,9903213,9807156,9712176,111077,9605023,101074,112063,208170
6717,6718,9703051,9904096,9903125,9208006,2127,9905226,9904096,9801195,112024,9901123,11031,102028
6718,6719,9703050,9810157,9905211,9802015,208111,10076,9810157,104181,9302023,9812038,9903058,9905106
6719,6720,9703049,209206,9910006,5212,204228,6241,209206,106285,303180,9803048,212329,9708062
6720,6721,9703048,9803088,9805051,302118,9904063,9607229,9803088,206218,9310123,9805218,8083,9702110
6721,6722,9703047,9902043,9803180,205209,7009,9903039,9902043,9602088,6233,9808175,301072,9905228
6722,6723,9703046,9701096,9812224,108194,203025,9703158,9701096,9602054,9606003,7145,9407136,2196
6723,6724,9703045,9603195,2177,9308027,207267,9906122,9603195,9810157,9704011,8173,301095,207090
6724,6725,9703044,9909108,210289,9803258,4023,6151,9909108,9605224,9712172,8194,108206,104201
6725,6726,9703043,9512042,6131,210309,210211,5165,9512042,5277,9810175,103021,11140,9811002
6726,6727,9703042,9111,9910172,9604148,4149,206165,9111,205247,106021,205100,9704017,9410142
6727,6728,9703041,112164,1024,211118,4094,9710033,112164,112164,9601172,9905098,9311026,103102
6728,6729,9703040,9308129,3198,303013,102146,9810170,9308129,10091,9802149,9805029,9607171,9811143
6729,6730,9703039,12049,2256,203175,209140,9903224,12049,109092,9611078,9903139,9705200,108110
6730,6731,9703038,9909035,1150,201177,9901105,9801104,9909035,9705229,9611201,11257,9510026,9603121
6731,6732,9703037,107252,9903099,212317,112042,9711162,107252,9912172,9611164,211269,3056,9607096
6732,6733,9703036,9810098,9150,210058,12002,9707195,9810098,9503208,103181,9907098,112080,211228
6733,6734,9703035,9710205,9909073,9406032,201056,9704011,9710205,9609052,9610172,9612216,9810110,9610047
6734,6735,9703034,9512191,102109,9905036,203127,205135,9512191,9512043,9907008,9810257,9401103,201136
6735,6736,9703033,9704030,207253,9411242,9231,101061,9704030,12021,9903126,9909125,12132,9602032
6736,6737,9703032,9809061,9908051,2070,103182,9810152,9809061,9706120,9912158,7243,9602109,9902126
6737,6738,9703031,9711034,112261,9904033,6024,9802049,9711034,206017,9606071,9801207,102093,6044
6738,6739,9703030,9910099,201240,9506213,202043,4144,9910099,9904096,111016,9711001,211180,6139
6739,6740,9703029,111005,9811134,9709124,1093,303155,111005,2126,9407111,3213,9506168,203257
6740,6741,9703028,205287,6213,9602154,203179,105305,205287,207201,104155,104215,9807185,11057
6741,6742,9703026,2126,2129,9901103,205091,9603089,2126,9911181,8006,203138,9803004,202094
6742,6743,9703025,205247,9908208,9808026,9812166,9612249,205247,4126,9711160,9806092,9702046,9906013
6743,6744,9703024,9801195,9902068,9705027,107253,9611189,9801195,2070,9305114,9803197,9810154,210270
6744,6745,9703023,9708074,9908120,9710112,110247,9811145,9708074,9802199,9505131,2061,9905099,103025
6745,6746,9703021,110034,9137,9607219,12253,11167,110034,205296,111034,3219,9502143,9508036
6746,6747,9703020,101210,304036,9507040,9072,4094,101210,9905004,9707042,9912133,9903095,9909128
6747,6748,9703019,9708007,205079,9706095,1197,9607001,9708007,9512042,111154,106020,9503210,208038
6748,6749,9703018,9911181,4194,9711150,9909122,109160,9911181,9810098,6091,203129,206212,9807088
6749,6750,9703017,1068,9903052,9901161,3242,110250,1068,9710205,9706155,102095,108090,9179
6750,6751,9703016,9509110,9806130,9712025,9804168,9610107,9509110,9806139,9401101,107115,9211085,209011
6751,6752,9703015,107216,9912051,12111,1012,209164,107216,11044,207003,108085,9210121,9812151
6752,6753,9703014,202079,107247,108221,6156,9911242,202079,206197,9707187,9810064,9605212,9704038
6753,6754,9703012,9912100,104181,9802189,111016,106174,9912100,9701085,9512132,103112,9510034,9504148
6754,6755,9703010,1018,9164,9605149,111040,301212,1018,9803088,204150,1049,9803038,6019
6755,6756,9703009,3143,11010,9811128,1084,9706155,3143,9701096,9404008,9910249,9807079,111046
6756,6757,9703008,9602016,210014,205002,107046,9612027,9602016,9308129,9903082,9903140,9904118,9806170
6757,6758,9703007,9912082,110252,9810157,9805028,108187,9912082,207050,8212,5114,1031,9504057
6758,6759,9703006,9702108,212221,9707164,110167,9902034,9702108,9708007,9206041,101218,101134,8157
6759,6760,9703005,204122,1106,9906103,9014,9505162,204122,101159,107164,8170,6213,112259
6760,6761,9703004,9709148,12152,9801072,9811089,205231,9709148,9702108,9410190,9204040,9807232,9193
6761,6762,9703003,9510067,9804210,7031,9811141,211017,9510067,9906061,4081,9304034,11182,10247
6762,6763,9703002,9406027,9811052,111178,9903144,9501030,9406027,12046,9212102,9908204,9804167,9901163
6763,6764,9703001,2215,9808122,302059,9912188,9910006,2215,9510229,9303093,111068,9510143,9912171
6764,6765,9702205,104128,103173,9809044,103094,9804163,104128,6056,9207103,9205062,211020,9701062
6765,6766,9702204,205296,3044,6222,9804086,101049,205296,9709199,106071,9210050,101233,106247
6766,6767,9702203,207050,9806024,9511058,10086,202205,207050,9405133,204068,202133,9710179,103050
6767,6768,9702202,9509009,107222,9904114,9807206,9812066,9509009,101210,9406145,9307123,9803130,8045
6768,6769,9702201,106022,10292,9707186,9901009,12267,106022,106092,103259,9506178,9711040,9605124
6769,6770,9702200,8216,9807019,9606008,9907202,205092,8216,201017,9702094,9805111,203138,1096
6770,6771,9702199,2070,9705181,9908035,9807100,208062,2070,9602016,9612225,9606052,9611152,203073
6771,6772,9702198,111046,9812044,11292,10278,9902105,111046,9911154,9904208,9305055,5093,9703153
6772,6773,9702197,108056,9811021,9701011,101174,9810099,108056,202092,9303171,9803234,9910115,5188
6773,6774,9702196,3065,9903241,9708157,9903022,9906168,3065,202079,9603009,9706057,5108,201252
6774,6775,9702195,101209,206054,9709146,205011,208225,101209,9153,9508061,9404101,9803189,9611148
6775,6776,9702194,109009,9904133,9904150,206130,12133,109009,3143,9504077,9311022,4085,209134
6776,6777,9702193,8180,9802151,207068,1106,9611050,8180,9510067,9601015,9308131,209076,103086
6777,6778,9702192,9912044,2150,9811214,212189,209187,9912044,9406027,9611148,212215,208066,202050
6778,6779,9702191,102097,9901120,9705013,112261,207131,102097,104128,9602017,9507051,112078,9804140
6779,6780,9702190,106092,205126,9709010,103242,103235,106092,9509146,9910017,9510223,8044,9803146
6780,6781,9702189,203219,9908094,9707062,10052,206215,203219,9512191,9310042,9602032,202161,9912030
6781,6782,9702188,9404151,103181,9709186,9907020,207094,9404151,107216,4140,9805133,6070,205293
6782,6783,9702187,103222,9905055,9247,207253,9801109,103222,9901143,9401048,101036,9605054,9802199
6783,6784,9702186,9505074,9803261,3235,205113,203206,9505074,203039,212290,107159,9201061,9606069
6784,6785,9702185,2027,8100,2149,9810239,210079,2027,9510036,212279,9412162,203276,9812014
6785,6786,9702184,9806034,110283,9807008,9042,111159,9806034,108158,9706027,9509019,9303076,106125
6786,6787,9702183,103062,3225,9910236,9909107,206043,103062,210058,6063,9802057,9210142,7157
6787,6788,9702182,212112,9901131,9912101,9812093,210264,212112,9904217,9401103,9608041,9808187,7209
6788,6789,9702181,101022,9904095,202027,9809124,209101,101022,101162,208177,9901044,9904150,9703026
6789,6790,9702180,9911105,9803194,9802194,9905100,9911138,9911105,108087,202208,9911117,9910229,9508030
6790,6791,9702179,9510013,9902161,5211,9812118,9807208,9510013,9810251,206014,202017,9210050,9411153
6791,6792,9702178,108087,9908014,102183,109173,212151,108087,205192,9907125,9403008,9712200,9812140
6792,6793,9702177,112053,12070,106234,102049,205056,112053,109009,9409083,9308077,9812085,301211
6793,6794,9702176,9609089,12002,210175,9805051,9812220,9609089,206148,9803245,3053,9310126,4154
6794,6795,9702174,3152,9910245,9042,9804009,210275,3152,102113,9707148,9603187,5241,9907025
6795,6796,9702173,206148,9903213,9308005,9906246,11215,206148,103062,9612157,9607043,107200,212120
6796,6797,9702172,4105,5198,9902134,12172,201038,4105,105249,9503223,109075,9909127,9610149
6797,6798,9702171,205192,9904063,9604140,6054,207050,205192,11242,9810063,9304050,206089,9604142
6798,6799,9702170,9706009,108122,9301125,4136,9609112,9706009,8180,104096,9503029,10276,5201
6799,6800,9702169,9703077,9912142,9305026,5045,102121,9703077,9710031,9701158,9710024,107128,9910153
6800,6801,9702168,9906061,9810102,110063,9806009,9810132,9906061,102045,9803161,110188,9609085,207094
6801,6802,9702167,9803014,9812081,9402007,9906239,7066,9803014,9709148,208014,9805200,9705090,9707177
6802,6803,9702166,9904135,304024,9611093,9902163,104011,9904135,9506048,9909043,9602088,9505074,9703136
6803,6804,9702165,9308068,203252,9504057,9712109,9807057,9308068,111181,2064,9709177,207264,210178
6804,6805,9702164,9904217,9811170,110262,9906145,210192,9904217,3216,111120,9406069,9202085,9904092
6805,6806,9702163,107244,9805028,9401098,9903229,9809100,107244,9712166,9802095,10179,9710158,207160
6806,6807,9702162,9601058,3064,9605145,210085,9910106,9601058,111046,9411160,9901136,9707016,9803096
6807,6808,9702161,212059,201056,9203025,211035,9801048,212059,106043,9711138,9505038,110195,5029
6808,6809,9702159,9805106,102026,9907132,9807104,102069,9805106,12049,12002,9610016,9807178,9803069
6809,6810,9702158,9905004,9803197,9505145,202121,8064,9905004,2027,6098,4151,204062,9501126
6810,6811,9702156,109148,206031,9912261,9909214,9901005,109148,9404151,109130,9903172,9509049,103161
6811,6812,9702155,9907034,9810129,9610222,207120,5282,9907034,101022,9903131,9603099,9707119,3232
6812,6813,9702154,202092,9809147,9304155,109119,9904121,202092,9701151,108008,9510195,9901104,2040
6813,6814,9702153,9804201,103178,9701115,9901126,9811192,9804201,9611140,8201,9804202,104057,111231
6814,6815,9702152,9511193,4129,9609048,9903019,9708046,9511193,301095,9307173,9912180,9804059,112207
6815,6816,9702150,101236,9904026,9602096,9905024,12026,101236,5061,9908176,102114,9802004,11053
6816,6817,9702148,112020,11031,9512074,7146,9901079,112020,6044,9510067,9609056,1105,102011
6817,6818,9702147,9601094,210065,210250,210301,9810006,9601094,9911105,9307177,201241,112037,9804012
6818,6819,9702146,9504045,11110,9607043,7133,109101,9504045,9308068,1035,9304062,112196,209071
6819,6820,9702145,7148,9809109,9906079,9912280,10017,7148,9806034,9810104,9411170,9905004,9903072
6820,6821,9702144,9610216,7208,9606080,206085,210286,9610216,9609089,9703134,9401131,205037,9306037
6821,6822,9702143,106282,9812008,5130,9906149,9806131,106282,9509009,9608173,201093,104226,201015
6822,6823,9702142,111263,9807042,9712010,3123,6203,111263,2215,9907189,9511079,204012,211198
6823,6824,9702141,106243,205217,9407109,9812242,3152,106243,205303,9706049,108135,9214,9610242
6824,6825,9702140,9912172,9712253,112197,9908208,206044,9912172,9708109,9603038,9806160,205092,9806199
6825,6826,9702139,9506048,9912074,9712167,210190,9611161,9506048,9509110,9406202,9612059,9803133,9911001
6826,6827,9702138,106285,9907163,12075,9909116,10156,106285,9912100,108169,9802092,9902115,111222
6827,6828,9702137,9606168,9805019,9512177,9903031,9509102,9606168,101065,111274,9606168,9602016,101057
6828,6829,9702136,9606190,206110,9603176,102211,11120,9606190,301171,9408042,9712039,9211083,9911160
6829,6830,9702135,9502141,9902093,9503082,9806143,108216,9502141,9603195,9207019,203203,9510013,201100
6830,6831,9702134,111113,9808177,9603099,9904026,109052,111113,9804201,6208,9910143,9203039,205280
6831,6832,9702133,211075,9904146,9612248,3044,1114,211075,9903117,9612027,9609016,201268,203252
6832,6833,9702132,212008,9806122,204156,208073,210060,212008,208066,9601049,9712195,207002,9508080
6833,6834,9702131,9912059,9907201,210011,207188,301044,9912059,107149,9802182,203061,203003,106244
6834,6835,9702130,112023,10153,9609092,9903099,209042,112023,7148,9911088,212008,1054,8146
6835,6836,9702129,9307169,9811162,9910082,9806022,9804200,9307169,208161,9198,201227,9705173,108216
6836,6837,9702127,9508139,208195,104209,9903224,212168,9508139,9911152,9402023,9706204,9907123,303137
6837,6838,9702126,9707184,9912089,201244,9805047,9707142,9707184,9707184,208209,3281,9810157,9811022
6838,6839,9702125,3294,3292,9611161,9812034,9605146,3294,11257,9305026,9712215,9612066,9905187
6839,6840,9702121,301095,9911115,9605232,9910245,207195,301095,3065,9210031,9811251,7071,9504160
6840,6841,9702120,9911152,9912122,201093,9806024,9506110,9911152,9190,9606162,106186,103003,9412155
6841,6842,9702119,9903117,304074,10266,6171,9910099,9903117,8216,210135,9806124,7048,9810211
6842,6843,9702118,9908054,9903024,9803217,12245,303116,9908054,103211,9405103,9612066,11219,9504094
6843,6844,9702117,9703183,9812051,9712039,209062,101187,9703183,209265,9508060,9904008,11088,10148
6844,6845,9702115,12046,9902196,9611210,111246,211065,12046,9506019,109056,9704190,3137,9509022
6845,6846,9702114,101134,9612114,9609211,9812079,9511088,101134,9706009,9910191,9309027,9610081,204158
6846,6847,9702112,9902088,209234,206180,9811168,9606130,9902088,9703077,9310021,9304115,9410046,9307091
6847,6848,9702110,9611238,9912180,9906046,9910207,204074,9611238,9511193,9805114,9206080,9701035,9606175
6848,6849,9702109,203149,9911023,9807079,9903225,9703186,203149,9905230,5100,9611142,301198,9709176
6849,6850,9702108,201006,208097,9305020,9909178,104196,201006,9907034,9805171,9711012,7206,9905105
6850,6851,9702107,9611163,202043,9803254,107082,9711165,9611163,101236,9710135,9911095,204107,9601121
6851,6852,9702106,3033,9811036,9811045,211168,9609152,3033,111263,9407154,2194,9410038,9804027
6852,6853,9702105,9707223,9134,9912177,9708036,9705041,9707223,9504045,209049,9809165,9610167,212216
6853,6854,9702104,9190,9812056,9610195,9706079,9507051,9190,211137,8227,9141,9910169,9310026
6854,6855,9702103,9811220,110280,9611088,9710098,10269,9811220,108045,9506047,103159,9607113,9903210
6855,6856,9702102,104181,9907062,9811060,9905078,212272,104181,108041,207263,9504031,9707002,9611120
6856,6857,9702101,104057,102211,9710049,9811045,9137,104057,9510013,9508093,9710049,9402148,108207
6857,6858,9702100,3153,103095,9601098,9903123,9811132,3153,9803014,9601044,9701075,9705065,204196
6858,6859,9702099,7246,212030,9812039,5244,212299,7246,9909127,212212,9705023,112214,9812188
6859,6860,9702098,9609105,1186,9610120,2027,103086,9609105,301182,7165,9803004,9809015,106212
6860,6861,9702097,7115,9901126,9902202,9908051,2060,7115,201006,9204041,9804032,8055,12258
6861,6862,9702096,1213,210154,9802186,9809035,1142,1213,2111,203109,9175,9903022,101091
6862,6863,9702095,9708109,9805142,204103,2047,9712136,9708109,7246,9502093,9607187,9406063,206024
6863,6864,9702094,9507109,303241,9806238,103173,9807090,9507109,9601058,3036,7241,9511214,9803052
6864,6865,9702093,9707257,9904042,9801114,3078,9130,9707257,9912044,9911253,103015,9407008,108044
6865,6866,9702092,107215,9912088,9702046,9084,6068,107215,107252,7021,110267,9512137,9803129
6866,6867,9702091,9701151,9901150,9612218,203123,9904191,9701151,9902088,9812053,9902202,203014,9609063
6867,6868,9702090,201017,209140,9804087,205079,6062,201017,9601094,205258,9611017,110260,5027
6868,6869,9702089,211059,9906149,102060,110065,105035,211059,9806238,9906078,7069,9510121,9704034
6869,6870,9702088,9706140,210085,111277,10207,9910174,9706140,9806041,211112,106171,9503045,203140
6870,6871,9702087,9801160,9138,112115,9812008,9801124,9801160,9307169,9705030,9907215,9710228,9707031
6871,6872,9702086,9812016,9908018,204227,110280,9902184,9812016,9908054,9406204,204103,9703138,9603201
6872,6873,9702085,304045,9903031,9606082,9907150,211089,304045,111113,9807187,9909017,204249,109165
6873,6874,9702084,9504091,9904078,9904005,105107,9703210,9504091,9712092,101196,9912230,202057,9707227
6874,6875,9702083,203194,9909177,9901087,9055,1024,203194,9606168,9703172,5248,112228,205312
6875,6876,9702082,9410051,9042,4027,107247,8123,9410051,106243,9503057,9704076,202017,201201
6876,6877,9702081,6044,201141,11147,110121,9909198,6044,9511158,9608002,9703154,9312095,202095
6877,6878,9702080,9507062,9903019,110022,9808038,9612233,9507062,6112,9510026,9905146,9805190,9503213
6878,6879,9702079,6056,9812225,2011,202145,12196,6056,9907090,101197,9909167,9801162,9702093
6879,6880,9702077,8103,9807100,9610018,201113,107032,8103,203251,9171,9812052,302109,9707019
6880,6881,9702076,107149,9812118,8221,203161,8202,107149,9812016,202102,9702086,208060,2009
6881,6882,9702075,212307,9903059,9907014,12075,201039,212307,105098,202199,2130,112160,11255
6882,6883,9702074,9902201,5196,9612049,303154,9611072,9902201,9703183,207132,7063,1218,109030
6883,6884,9702073,210042,1042,9603069,208097,9077,210042,203219,9911198,106019,5192,10205
6884,6885,9702072,10171,9908024,9803050,207143,5110,10171,1213,9304161,110277,9901093,208018
6885,6886,9702071,210152,9907211,9609021,9912142,9704006,210152,112023,9505060,111142,9601091,9099
6886,6887,9702070,9401055,104006,9706007,205305,9702155,9401055,9610216,210025,9605087,9807056,9708070
6887,6888,9702068,109102,9904086,9304056,1024,9605073,109102,103222,9806087,9302099,9602156,201233
6888,6889,9702067,5061,9905005,9910175,2082,106237,5061,9707257,106231,9912218,9209008,9603106
6889,6890,9702066,9806238,107089,7133,9912162,108065,9806238,207068,9804084,107090,9212086,111198
6890,6891,9702065,9403032,9910225,203020,205088,9909087,9403032,9801160,9904179,9610084,11262,9906141
6891,6892,9702064,9901028,9809144,9710219,11284,9706223,9901028,9132,110079,9909027,9205043,9709016
6892,6893,9702063,9810021,9905053,11098,209234,210223,9810021,9901056,9512175,9606056,9707159,9309137
6893,6894,9702062,9703114,104027,103158,9912063,9907058,9703114,9609105,2126,9801053,9507064,9806111
6894,6895,9702061,9607216,9808052,9710153,3265,9705212,9607216,9901028,9705060,9802010,9307123,9806210
6895,6896,9702060,108003,9812166,9906248,9904003,9712151,108003,9711160,103009,4027,9808073,9504023
6896,6897,9702059,108041,9803054,9705242,109009,9609065,108041,8103,103203,4077,9906093,201263
6897,6898,9702058,9309014,7152,9134,9812044,9810237,9309014,9909035,9403048,9802111,111121,5249
6898,6899,9702057,9712092,3240,101216,9908120,9706175,9712092,10171,9312192,12110,1011,108071
6899,6900,9702056,9708122,9905007,9812188,103055,9912151,9708122,112020,9206096,202107,10045,9710042
6900,6901,9702054,203251,9805076,9805158,101106,207098,203251,9506186,9206100,9402148,103056,9512019
6901,6902,9702053,9510229,9905100,9901077,10285,9710098,9510229,211228,9905023,104126,9910037,9706082
6902,6903,9702052,9711117,205305,7166,9134,9802118,9711117,9607216,9604034,111048,9808086,9610065
6903,6904,9702051,9907090,212026,8108,1127,1180,9907090,9410051,9907223,2011,106092,9703176
6904,6905,9702050,210203,9910106,206007,9904133,110098,210203,9911065,9508113,202116,9225,9806012
6905,6906,9702049,203035,204105,209117,9908075,9810014,203035,12170,9609040,206155,112176,9805189
6906,6907,9702048,205174,3100,210030,9910198,9801146,205174,203035,9307091,9603178,8197,9712195
6907,6908,9702047,211056,9904087,210253,302123,10112,211056,9507062,110189,9902030,102001,6122
6908,6909,9702046,9132,9901152,12154,6135,9803143,9132,203194,9605086,9903002,9811228,9909184
6909,6910,9702045,9911065,1109,9806149,9164,9702098,9911065,9711177,9209048,9601109,9610201,9804135
6910,6911,9702044,9506186,2106,9811150,9901131,9712167,9506186,11255,208092,9611175,9510167,9905230
6911,6912,9702043,9811006,1084,8247,3064,9710119,9811006,9607185,9311114,10255,9701004,9806013
6912,6913,9702042,9066,110020,9807205,9911242,6046,9066,3152,102038,106177,9707063,107108
6913,6914,9702039,212044,203076,105076,2106,9708063,212044,109107,9903241,9707105,9056,3115
6914,6915,9702038,209265,101124,209232,9902043,111080,209265,109163,10043,9611097,9405145,205177
6915,6916,9702037,11108,9909107,103233,9907172,5119,11108,11011,207251,11148,212307,103032
6916,6917,9702036,211228,9911110,9904137,12012,9710031,211228,9902201,9911255,9402114,102123,106190
6917,6918,9702035,110063,109137,3288,9906027,9802109,110063,201016,9907177,109098,9307002,9903237
6918,6919,9702033,9711160,110287,9062,112041,210257,9711160,208104,201193,109094,9203025,9811051
6919,6920,9702032,212017,9050,9912155,206125,208121,212017,9805151,110178,106175,9607043,106275
